text,created_at
"NUESTRA OPINIÓN RESPECTO A LA RENUNCIA DE JEANINE AÑEZ A LA CANDIDATURA PRESIDENCIAL
Nunca debió ser candidata presidencial, el mandato constitucional se limita a que solo debía convocar a elecciones, pero apartándose de la C.P.E, se dedicó a dividir el voto, su gestión proselitista estuvo marcada por la prebenda con dineros públicos y utilización de bienes estatales.
Descuidó la gestión pública de la salud, educación y economía privilegiando el cálculo político.
Le debe una disculpa a Bolivia por el daño ocasionado por su pretensión de candidatear utilizando para beneficio propio el sacrificio de todo un pueblo.
Bolivia, 17/9/2020
PROYECTO CHI PUEDE",2020-09-18
"TSE debe anular la sigla del ""M.A.S."" si es que quiere que tengamos una elección limpia y transparente. El que debe declinar es el que gestionó el fraude, la sedición y el terrorismo en el país, y para ello vengo gestionando ""LA VOZ DE LA UNIDAD"" entre todos los partidos políticos. 
Entrevista: Unitel tp central 17/09",2020-09-18
"Presidente Añez jamás debió ser candidata, ella no entró por el voto por lo tanto según la C.P.E. no correspondía, pero por el vicio de poder hizo lo mismo que Evo Morales. Presidente Añez entró como una Pdte. de transición para convocar a elecciónes y en vez de cuidar de la pandemia se dedicó a hacer su campaña convirtiendo el Gob. de transición en partido político. Grande defraudación al país.",2020-09-18
Mensaje desde Puerto Seco - Oruro (18/09/2020),2020-09-19
"ACLARACION NECESARIA
El PROYECTO CHI PUEDE, en función a sus principios ideológicos, no ha considerado ninguna posibilidad de alianza con la Organización Política del MAS, ni previa tampoco post electoral.
Promovemos sí, la voz de la unidad con otras candidaturas presidenciales para que el MAS no participe en estas elecciones por los delitos cometidos como partido político, sin que esa iniciativa signifique una alianza partidaria.
Bolivia, 19/9/2020
PROYECTO CHI PUEDE",2020-09-20
"Estaré siendo entrevistado desde EE.UU. a las 19h y a las 20h por Bolivision en ""BOLIVIA DECIDE 2020"". Hoy domingo 20/09/2020",2020-09-20
"""La Fé mueve montañas""",2020-09-21
"Felicidades al pueblo boliviano en esta fecha, día de los médicos, de la amistad, los enamorados, los estudiantes, los fotógrafos y la primavera. Chi Puede",2020-09-21
"Felicitaciones del Dr. Chi Hyun Chung, por este 21 de Septiembre, un mes especial para el pueblo boliviano. Chi Puede",2020-09-21
"""Presentamos al famoso guitarrista Chi Hyun Chung""",2020-09-21
Compartiendo con los hermanos de CARANAVI,2020-09-22
Homenaje del Dr. Chi a Santa Cruz. Entrevista en Enrique Salazar 21/09/2020,2020-09-22
"Oruro será centro turístico y comercial de Bolivia. Cuando entre de presidente no solamente Oruro, sino todos los Dptos. van a subir para arriba. Entrevista completa para los medios de comunicación y población en general. 
Proyecto Chi Puede para Bolivia",2020-09-22
