,created_at,original,translated
0,2020-09-18,"NUESTRA OPINIÓN RESPECTO A LA RENUNCIA DE JEANINE AÑEZ A LA CANDIDATURA PRESIDENCIAL
Nunca debió ser candidata presidencial, el mandato constitucional se limita a que solo debía convocar a elecciones, pero apartándose de la C.P.E, se dedicó a dividir el voto, su gestión proselitista estuvo marcada por la prebenda con dineros públicos y utilización de bienes estatales.
Descuidó la gestión pública de la salud, educación y economía privilegiando el cálculo político.
Le debe una disculpa a Bolivia por el daño ocasionado por su pretensión de candidatear utilizando para beneficio propio el sacrificio de todo un pueblo.
Bolivia, 17/9/2020
PROYECTO CHI PUEDE","OUR OPINION REGARDING RESIGNATION Jeanine PRESIDENTIAL CANDIDACY TO AÑEZ
Should never be a presidential candidate, the constitutional mandate is limited to only had to hold elections, but away from the C.P.E, he devoted himself to split the vote, his proselytizing management was marked by the sinecure with public money and use of state property.
Neglected public health management, education and economics privileging the political calculus.
He owes an apology to Bolivia for the damage caused by its claim to candidatear using for their own benefit the sacrifice of an entire people.
Bolivia, 17.09.2020
PROJECT CAN CHI"
1,2020-09-18,"TSE debe anular la sigla del ""M.A.S."" si es que quiere que tengamos una elección limpia y transparente. El que debe declinar es el que gestionó el fraude, la sedición y el terrorismo en el país, y para ello vengo gestionando ""LA VOZ DE LA UNIDAD"" entre todos los partidos políticos. 
Entrevista: Unitel tp central 17/09","TSE must annul the acronym for the ""M.A.S."" if you want to have a clean and transparent election. Which must decline is that managed the fraud, sedition and terrorism in the country, and managing it come ""THE VOICE OF UNITY"" among all political parties.
Interview: Unitel Central tp 17/09"
2,2020-09-18,"Presidente Añez jamás debió ser candidata, ella no entró por el voto por lo tanto según la C.P.E. no correspondía, pero por el vicio de poder hizo lo mismo que Evo Morales. Presidente Añez entró como una Pdte. de transición para convocar a elecciónes y en vez de cuidar de la pandemia se dedicó a hacer su campaña convirtiendo el Gob. de transición en partido político. Grande defraudación al país.","President Añez should never be a candidate, she did not go for the vote therefore according to C.P.E. He did not correspond, but by vice of power did the same as Evo Morales. President Añez came as a Pdte. Transition to call elections and instead of taking care of the pandemic was dedicated to converting to campaign Gob. transition into a political party. Large defrauding the country."
3,2020-09-19,Mensaje desde Puerto Seco - Oruro (18/09/2020),Message from Puerto Seco - Oruro (18/09/2020)
4,2020-09-20,"ACLARACION NECESARIA
El PROYECTO CHI PUEDE, en función a sus principios ideológicos, no ha considerado ninguna posibilidad de alianza con la Organización Política del MAS, ni previa tampoco post electoral.
Promovemos sí, la voz de la unidad con otras candidaturas presidenciales para que el MAS no participe en estas elecciones por los delitos cometidos como partido político, sin que esa iniciativa signifique una alianza partidaria.
Bolivia, 19/9/2020
PROYECTO CHI PUEDE","Clarification needed
CHI the PROJECT may, depending on their ideological principles, has not considered any possibility of alliance with MAS Policy Organization, nor previous electoral post.
Promote itself, the voice of unity with other presidential candidates for the MAS not participate in these elections for crimes committed as a political party, without this initiative means a party alliance.
Bolivia, 19.09.2020
PROJECT CAN CHI"
5,2020-09-20,"Estaré siendo entrevistado desde EE.UU. a las 19h y a las 20h por Bolivision en ""BOLIVIA DECIDE 2020"". Hoy domingo 20/09/2020","I'll being interviewed from the US at 19pm and 20pm by Bolivision in ""BOLIVIA HAS DECIDED 2020"". Sunday 20/09/2020"
6,2020-09-21,"""La Fé mueve montañas""","""Faith moves mountains"""
7,2020-09-21,"Felicidades al pueblo boliviano en esta fecha, día de los médicos, de la amistad, los enamorados, los estudiantes, los fotógrafos y la primavera. Chi Puede","Congratulations to the Bolivian people on this day, doctors day, friendship, lovers, students, photographers and spring. Chi Can"
8,2020-09-21,"Felicitaciones del Dr. Chi Hyun Chung, por este 21 de Septiembre, un mes especial para el pueblo boliviano. Chi Puede","Congratulations Dr. Chi Hyun Chung, this September 21, a special month for the Bolivian people. Chi Can"
9,2020-09-21,"""Presentamos al famoso guitarrista Chi Hyun Chung""","""We present the famous guitarist Chi Chung Hyun"""
