,text,value
0,06,1.3432850108690073
1,09,1.7225121464045896
2,10,1.0646657106594513
3,2020,3.3929974822292546
4,apoya,3.181503196205518
5,bolivia,6.475657126925973
6,camacho,2.163869438136191
7,campaña,1.5002792258227935
8,chi,5.9154482884066875
9,chung,1.2276597289883773
10,cierre,1.4453701939614
11,compartiendo,1.1430604534241455
12,corea,3.516765395594786
13,debate,1.8673262426435016
14,dr,2.2703934322269754
15,entrevista,1.6115481569739447
16,gestionar,1.2654271810701472
17,gobierno,1.106194121522426
18,golpe,1.051727414988789
19,gracias,1.0600406981990147
20,hermanos,1.2579867495024877
21,hyun,1.2276597289883773
22,mesa,1.1818822471849686
23,oct,1.4395122241150853
24,país,1.3086000423521
25,presupuesto,1.1723194007632218
26,proyecto,1.1314449033732041
27,salud,1.7253929039577942
28,sur,3.516765395594786
29,vamosbolivia,3.9899503274210533
