text,created_at
"Hoy Carlos D. Mesa Gisbert estará en entrevista para estos medios.
Sigue las entrevistas por 👉🏼:
Desayunando con Gary Añez:
https://www.facebook.com/AsContenidosBolivia/
El Avispero:
https://www.facebook.com/RadioErbol100.9FM/
#PrimeroLaGente #MesaPresidente",18/9/2020
"Hoy a las 10:00, Carlos D. Mesa Gisbert y Gustavo Pedraza Merida estarán en una transmisión en vivo desde #SantaCruz.
#PrimeroLaGente #MesaPresidente",18/9/2020
"#EnVivo Carlos D. Mesa Gisbert y Gustavo Pedraza Merida en conferencia de prensa desde #SantaCruz.
#PrimeroLaGente #MesaPresidente",18/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para Desayuno As Contenidos.
#PrimeroLaGente #MesaPresidente",18/9/2020
"La gente está primero  
#MesaPresidente",18/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para Radio Erbol 100.9 FM.
#PrimeroLaGente #MesaPresidente",18/9/2020
"En minutos, Carlos D. Mesa Gisbert en entrevista para Asuntos Centrales.
Sigue la entrevista por 👉🏼:
https://www.facebook.com/AsuntosCentrales/
#PrimeroLaGente #MesaPresidente",18/9/2020
"Hoy a las 22:00, Carlos D. Mesa Gisbert en entrevista para CONCLUSIONES con Fernando Del Rincón. 
#PrimeroLaGente #MesaPresidente",18/9/2020
"#EnVivo Gustavo Pedraza Merida en entrevista para No Mentirás.
#PrimeroLaGente #MesaPresidente",18/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para CONCLUSIONES con Fernando Del Rincón.
#PrimeroLaGente #MesaPresidente",18/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para CONCLUSIONES con Fernando Del Rincón (Segunda Parte).
#PrimeroLaGente #MesaPresidente",18/9/2020
"Es hora de ponerle un alto al fraude y a la corrupción.
#PrimeroLaGente #BastaDeFraude",20/9/2020
"Hoy a las 22:00, Carlos D. Mesa Gisbert estará en entrevista para ""Así Decidimos"" de UNITEL.
¡No te lo pierdas! 
#PrimeroLaGente #MesaPresidente",20/9/2020
"#EnVivo Gustavo Pedraza Merida en entrevista para #CuarentenaPolítica - CONADE.
#PrimeroLaGente #MesaPresidente",20/9/2020
"Es hora de un líder que luchará contra la triple crisis y rechazará el fraude.
#PrimeroLaGente #MesaPresidente",20/9/2020
"#EnVivo Carlos D. Mesa Gisbert en entrevista para ""Así Decidimos"" de UNITEL.
#PrimeroLaGente #MesaPresidente",20/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Cecilia Vargas Vásquez, Candidata a Senadora por La Paz.
#PrimeroLaGente #MesaPresidente",21/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: César Virguetti, Candidato por la Circunscripción Uninominal N° 20 - Cochabamba.
#PrimeroLaGente #MesaPresidente",21/9/2020
"Desde el INRA, el MAS instituyó, como prebenda electoral, un sistema extendido de tráfico de tierras para su militancia que fue otra forma del despilfarro con que Evo Morales y Luis Arce dispusieron de los recursos del Estado como de su billetera.
#BastaDeCorrupción #MesaPresidente
https://bit.ly/3mJFG5M",21/9/2020
"Carlos D. Mesa Gisbert: ""Somos la mejor candidatura. Si no tenemos posibilidad de construcción de mayoría parlamentaria, lo haremos a través de alianzas, pero de que llegamos a presidencia con mayoría, lo haremos"".
#PrimeroLaGente #MesaPresidente 
https://bit.ly/2FQXYRR",21/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: @Solimar Veizaga, Candidata a Diputada Plurinominal por Santa Cruz.
#PrimeroLaGente #MesaPresidente",21/9/2020
"Los candidatos de la gente para construir una Bolivia mejor: Orlando Valdez, Candidato a Diputado Plurinominal por Oruro.
#PrimeroLaGente #MesaPresidente",21/9/2020
