,created_at,original,translated
0,18/9/2020,"Hoy Carlos D. Mesa Gisbert estará en entrevista para estos medios.
Sigue las entrevistas por 👉🏼:
Desayunando con Gary Añez:
https://www.facebook.com/AsContenidosBolivia/
El Avispero:
https://www.facebook.com/RadioErbol100.9FM/
#PrimeroLaGente #MesaPresidente","Today Carlos D. Mesa Gisbert will be in an interview for these media.
Follow the interviews 👉🏼:
Having breakfast with Gary Añez:
https://www.facebook.com/AsContenidosBolivia/
The Hornet:
https://www.facebook.com/RadioErbol100.9FM/
#PrimeroLaGente #MesaPresidente"
1,18/9/2020,"Hoy a las 10:00, Carlos D. Mesa Gisbert y Gustavo Pedraza Merida estarán en una transmisión en vivo desde #SantaCruz.
#PrimeroLaGente #MesaPresidente","Today at 10:00, Carlos D. Mesa Gisbert and Gustavo Pedraza Merida will be on a live broadcast from #SantaCruz.
#PrimeroLaGente #MesaPresidente"
2,18/9/2020,"#EnVivo Carlos D. Mesa Gisbert y Gustavo Pedraza Merida en conferencia de prensa desde #SantaCruz.
#PrimeroLaGente #MesaPresidente","#EnVivo Carlos D. Mesa Gisbert and Gustavo Pedraza Merida at a press conference since #SantaCruz.
#PrimeroLaGente #MesaPresidente"
3,18/9/2020,"#EnVivo Carlos D. Mesa Gisbert en entrevista para Desayuno As Contenidos.
#PrimeroLaGente #MesaPresidente","#EnVivo Carlos D. Mesa Gisbert in interview for Breakfast As Contents.
#PrimeroLaGente #MesaPresidente"
4,18/9/2020,"La gente está primero  
#MesaPresidente","People come first  
#MesaPresidente"
5,18/9/2020,"#EnVivo Carlos D. Mesa Gisbert en entrevista para Radio Erbol 100.9 FM.
#PrimeroLaGente #MesaPresidente","#EnVivo Carlos D. Mesa Gisbert in interview for Radio Erbol 100.9 FM.
#PrimeroLaGente #MesaPresidente"
6,18/9/2020,"En minutos, Carlos D. Mesa Gisbert en entrevista para Asuntos Centrales.
Sigue la entrevista por 👉🏼:
https://www.facebook.com/AsuntosCentrales/
#PrimeroLaGente #MesaPresidente","In minutes, Carlos D. Mesa Gisbert in interview for Central Affairs.
Follow the interview for 👉🏼:
https://www.facebook.com/AsuntosCentrales/
#PrimeroLaGente #MesaPresidente"
7,18/9/2020,"Hoy a las 22:00, Carlos D. Mesa Gisbert en entrevista para CONCLUSIONES con Fernando Del Rincón. 
#PrimeroLaGente #MesaPresidente","Today at 22:00, Carlos D. Mesa Gisbert in interview for CONCLUSIONS with Fernando Del Rincón. 
#PrimeroLaGente #MesaPresidente"
8,18/9/2020,"#EnVivo Gustavo Pedraza Merida en entrevista para No Mentirás.
#PrimeroLaGente #MesaPresidente","#EnVivo Gustavo Pedraza Merida in an interview for No Mentirás.
#PrimeroLaGente #MesaPresidente"
9,18/9/2020,"#EnVivo Carlos D. Mesa Gisbert en entrevista para CONCLUSIONES con Fernando Del Rincón.
#PrimeroLaGente #MesaPresidente","#EnVivo Carlos D. Mesa Gisbert in interview with Fernando Del Rincón.
#PrimeroLaGente #MesaPresidente"
