text,created_at
"Creemos en un mejor sistema de salud, en mejores condiciones para los médicos, en cambios reales. 
Gracias la sector salud de Santa Cruz por brindarnos su apoyo y proclamar a nuestro candidato Luis Fernando Camacho como su futuro presidente. 
¡Cada día somos más los que creemos!",2020-09-21
"La Jefatura Departamental de Campaña de Creemos en Santa Cruz realizó la entrega de materiales a los candidatos uninominales. Creemos es un equipo comprometido con Bolivia. ¡Seguimos avanzando!
#CreoEnVos
#TuVozAlPoder",2020-09-22
"#EnVivo Suscripción de acuerdo de la Federación del Transporte de Carga Pesada Internacional de Santa Cruz con la Alianza Creemos.
#CreoEnVos
#TuVozAlPoder",2020-09-23
"¡Felices 210 años al motor de Bolivia, felices 210 años Santa Cruz! 
#SantaCruzCree #CreemosBolivia",2020-09-24
"¡El corazón de la amazonía boliviana está de fiesta! ¡Felicidades Pando! 
#PandoCree #CreemosBolivia",2020-09-24
"#EnVivo  Caravana multitudinaria en el municipio de Cotoca apoyando a nuestros candidatos de la C-47.
#CreoEnVos
#TuVozAlPoder",2020-09-24
A LA OPINIÓN PÚBLICA,2020-10-05
#EnVivo Conferencia de Prensa en la que presentamos nuestra posición respecto a las agresiones provocadas por militantes del MAS a los candidatos de la C-48.,2020-10-12
"Información a tu alcance
Creemos informa es la línea gratuita donde se puede obtener toda la información referente al tema electoral. 
Atención de Lunes a Domingo
Horario: 8:00 hrs a 17:00 hrs
Despeja tus dudas al : 800102700",2020-10-13
"#EnVivo Conferencia de prensa informando sobre cierre de campaña y presentación de plataforma de Control Electoral.
#CreoEnVos
#TuVozAlPoder",2020-10-14
