,text,value
0,21,3.0648658475249633
1,acompañanos,2.5915865952632617
2,años,3.4879383833316604
3,bolivia,8.055972016491898
4,calles,2.4998044956651704
5,cambio,3.058971845429582
6,cariño,6.337369695314312
7,cochabamba,3.156954975486041
8,cotoca,3.2702343275573864
9,creer,10.981041004217603
10,creoenmigente,5.0985588464313665
11,creoenvos,8.865046050488719
12,cruz,3.263945059144529
13,encuestas,2.612434844906974
14,esperanza,2.4754926741618806
15,gente,6.275911931615869
16,gracias,15.902391338568297
17,hermanos,8.95155003341124
18,jóvenes,2.4635405565343196
19,mejores,2.4195714249346465
20,paz,3.250390233568004
21,país,5.347869357694432
22,política,2.4342188960720086
23,potosí,4.1025195022258245
24,pueblo,2.34069760223658
25,queridos,3.469105296272625
26,santa,3.354097517524828
27,tuvozalpoder,6.688481785818708
28,unidos,2.3371350671923476
29,voto,3.2497920779130145
