text,created_at
"Hoy más que nunca, es importante la unidad de todos los partidos políticos que participan de las Elecciones.
#LaPatriaPrimero #mariadelacruzbaya #elecionesbolivia2020",18/9/2020
"Gracias a los jóvenes que apoyan nuestra candidatura. Muchas Gracias #LaPatriaEsPrimero #elecionesbolivia2020 #mariadelacruzbaya
https://www.youtube.com/watch?v=U14KM_bZ0lc",18/9/2020
"La Candidata de ADN presenta propuesta para el deporte boliviano
#lapatriaprimero #mariadelacruzbaya #eleccionesbolivia2020",18/9/2020
"Gracias al periódico La Razón por destacar nuestro trabajo 
La Patria Primero, es momento de unidad de todo el país.
#LaPatriaPrimero",19/9/2020
"No evitarán que participemos, somos la única candidatura que revaloriza la mujer
#LaPatriaPrimero #MariadelaCruzBaya #EleccionesBolivia2020",19/9/2020
"ADN presenta propuesta en salud, coherente y no politizada
#LaPatriaPrimero #ADN #EleccionesBolivia2020  #MariadelaCruzBaya",19/9/2020
"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",21/9/2020
"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",22/9/2020
"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",22/9/2020
"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",22/9/2020
"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",22/9/2020
"Las encuestas no reflejan la voz del pueblo, María de la Cruz Bayá PRESIDENTE
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",22/9/2020
¡Felicidades Santa Cruz!,23/9/2020
¡Felicidades Pando!,23/9/2020
Maria de la Cruz - Mensaje a las Mujeres,24/9/2020
"La Patria Primero, María de la Cruz Bayá PRESIDENTE",24/9/2020
Maria de la Cruz Presidente,26/9/2020
"Maria de la Cruz Presidente
",28/9/2020
"Maria de la Cruz - Mensaje a las Mujeres
",28/9/2020
"TSE e IPSOS realizan campaña contra Candidata Presidencial, María de la Cruz Bayá",28/9/2020
Maria de la Cruz Presidente,28/9/2020
"Por el país si es necesario, renunciaré a mi salario, LA PATRIA PRIMERO",29/9/2020
"Salud, educación y economía son primero",29/9/2020
La Salud Primero,29/9/2020
La Educación Primero,29/9/2020
La Economía Primero,29/9/2020
La Seguridad Nacional Primero,1/10/2020
"Desarrollo Productivo, Económico y Humano",1/10/2020
Maria de la Cruz - Mensaje a las Mujeres,5/10/2020
