,created_at,original,translated
0,18/9/2020,"Hoy más que nunca, es importante la unidad de todos los partidos políticos que participan de las Elecciones.
#LaPatriaPrimero #mariadelacruzbaya #elecionesbolivia2020",
1,18/9/2020,"Gracias a los jóvenes que apoyan nuestra candidatura. Muchas Gracias #LaPatriaEsPrimero #elecionesbolivia2020 #mariadelacruzbaya
https://www.youtube.com/watch?v=U14KM_bZ0lc",
2,18/9/2020,"La Candidata de ADN presenta propuesta para el deporte boliviano
#lapatriaprimero #mariadelacruzbaya #eleccionesbolivia2020",
3,19/9/2020,"Gracias al periódico La Razón por destacar nuestro trabajo 
La Patria Primero, es momento de unidad de todo el país.
#LaPatriaPrimero",
4,19/9/2020,"No evitarán que participemos, somos la única candidatura que revaloriza la mujer
#LaPatriaPrimero #MariadelaCruzBaya #EleccionesBolivia2020",
5,19/9/2020,"ADN presenta propuesta en salud, coherente y no politizada
#LaPatriaPrimero #ADN #EleccionesBolivia2020  #MariadelaCruzBaya",
6,21/9/2020,"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
7,22/9/2020,"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
8,22/9/2020,"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
9,22/9/2020,"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
10,22/9/2020,"María de la Cruz Bayá, la única mujer que busca ser Presidente
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
11,22/9/2020,"Las encuestas no reflejan la voz del pueblo, María de la Cruz Bayá PRESIDENTE
#MariadelaCruzBaya #LaPatriaPrimero #EleccionesBolivia2020",
12,23/9/2020,¡Felicidades Santa Cruz!,
13,23/9/2020,¡Felicidades Pando!,
14,24/9/2020,Maria de la Cruz - Mensaje a las Mujeres,
15,24/9/2020,"La Patria Primero, María de la Cruz Bayá PRESIDENTE",
16,26/9/2020,Maria de la Cruz Presidente,
17,28/9/2020,"Maria de la Cruz Presidente
",
18,28/9/2020,"Maria de la Cruz - Mensaje a las Mujeres
",
19,28/9/2020,"TSE e IPSOS realizan campaña contra Candidata Presidencial, María de la Cruz Bayá",
20,28/9/2020,Maria de la Cruz Presidente,
21,29/9/2020,"Por el país si es necesario, renunciaré a mi salario, LA PATRIA PRIMERO",
22,29/9/2020,"Salud, educación y economía son primero",
23,29/9/2020,La Salud Primero,
24,29/9/2020,La Educación Primero,
25,29/9/2020,La Economía Primero,
26,1/10/2020,La Seguridad Nacional Primero,
27,1/10/2020,"Desarrollo Productivo, Económico y Humano",
28,5/10/2020,Maria de la Cruz - Mensaje a las Mujeres,
