,created_at,original,translated
0,24/9/2020,Felicidades Santa Cruz,
1,2020-10-01,"#EleccionesNacionales2020 #TSE 
Como únicos Gestores y militantes afiliados - Única página oficial legal de PAN-BOL Constituida por Militantes  ""PARTIDO DE ACCION NACIONAL BOLIVIANO"" con nuestra participación DESDE LA FUNDACION 10 DE MAYO DE 2016, Compra de libros,proceso del cumplimiento del requerimiento para constituirnos como organización a la cabeza del Presidente Máxima autoridad Ejecutiva de Nuestra organización PAN-BOL - FUNDADOR (+)ROMNY SORUCO MIRANDA se logró concretar nuestro proyecto con mucho sacrificio y obtener la personalidad Juridica TSR-RSP-ADM- N080/2018  .
LAMENTABLEMENTE DESDE EL FALLECIMIENTO DE NUESTRO LIDER MAXIMO.
Unos dirigentes que abandonaron el proyecto antes de l obtención de personalidad Juridica- DIRIGENTES NO MILITANTES  y  UN DELEGADO que logro sucesión violento y nunca cumplió con nuestros Estatutos privando a sus afiliados de un elección Democrática   LOGRO SUCESION CON LA PRESENTACION DE DOCUMENTACION NO AUTORIZADADO ( presentó junto a con toda esa dirigencia EL certificado de DEFUNCIÓN que obtuvo sin autorización legal generando violencia política contra la militante 2 de Panbol QUE VA CONTRA EL ART. 25 C.P.E. y art 11 de la ley de Pacto de San José) lo que se dio a conocer al TSE que entrega pruebas de estos Actos delincuentes  con Angurria de Poder LOGRO DAR MOVIMIENTO A LA ORGANIZACION SIN SER MILITANTE violó  NUESTRO Estatuto ,ley 1096,018,026 CPE y  DERECHOS DE MILITANTES afiliados en todo el territorio Nacional .Tenía plazo por ART 32 (CASO DE MUERTE) art 25 y 38 de convocar a elección Democrática 30 días como máximo desde el fallecimiento de su MAE - MAS DE 800 DIAS CALENDARIO DE EVADIR UNA ELECCION DEMOCRATICA PRINCIPIO FUNDAMENTAL Y CONSTITUCIONAL QUE RESGUARDA NUESTROS DERECHOS - PRESENTAMOS MAS DE 90 DENUNCIAS ante T.S.E. CON EL FIN DE PEDIR DEMOCRATIZACION Y SANCION PARA INFRACTORES QUE SIN MORAL POSECIONARON A CANDIDATOS QUE NO NOS REPRESENTAN Y SON AUTORES INTELECTUALES DE LA INJERENCIA POLITICA QUE EXISTE POR NO SER MILITANTES  y cumplir art 50,76,77. 
Es importante que la Democracia funcione en este País ,ganamos 4 resoluciones incumplidas a la fecha por el Máximo ente Electoral que genera inoservancia  art 19 de la ley 018 inciso 3 y 4 .
 LO QUE MANIFESTAMOS --- NO ESTAMOS PARTICIPANDO DE LAS ELECCIONES 2020 ANTE LA VIOLACION FLAGRANTE DE NUESTROS DERECHOS POLITICOS Y CONSTITUCIONALES .---
Información requerida para afiliados y público en general 
Aclaraciones correspondiente página oficial panbol2019@gmail.com previo demostrar afiliación -",
2,2020-10-01,"SE ENTREGO LA UNICA DOCUMENTACION ORIGINAL AL PRESIDENTE ROMNY SORUCO MIRANDA (+)  CON CITACIONES Y NOTIFICACIONES N ° 059/2018 miércoles 11 de Abril 2018 (original) TSE- RSP -ADM -N ° 07 DE MARZO 2018
#eleccionesnacionales2020 #TSE #Bolivia
Partido de Acción Nacional Boliviano – PAN-BOL
El 11 de mayo de 2016, el Partido de Acción Nacional Boliviano (PAN-BOL) solicitó el reconocimiento de personalidad jurídica, y el 23 de agosto de 2017 entregó 2.432 libros de registro de militancia. Luego de un proceso de revisión, la Dirección Nacional de Tecnología de la Información y Comunicación emitió el informe DNTIC-EXT N° 009/2018 del 7 de febrero 2018, certificando 120.014 partidas válidas sin observaciones. Mediante Resolución TSE-RSP-ADM N° 080/2018 del 7 de marzo de 2018, la Sala Plena del Tribunal Supremo Electoral reconoció y registró a la organización política denominada “PARTIDO DE ACCIÓN NACIONAL BOLIVIANO” (PAN-BOL) como partido político, disponiendo el registro de la Declaración de Principios, Programa de Gobierno, Estatuto Orgánico y demás documentos constitutivos.",
3,2020-10-01,"#eleccionesnacionales2020 #TSE - #ministeriodejusticia #DerechosHumanos 
LOS MILITANTES AFILIADOS QUE DEFENDEMOS NUESTRA ORGANIZACION DE INJERENCIA POLITICA DE NO MILITANTES QUE MANEJAN NUESTRA ORGANIZACION LEJOS DEL CUMPLIMIENTO LEGAL DE NUESTROS ESTATUTOS DAMOS A CONOCER EL INCUMPLIENTO 
DE LA RESOLUCION ADMINISTRATIVA  1.- TSE -RSP- ADM N°0512/2018 de fecha 30 de Octubre de 2018 (CON INCUMPLIMIENTO DE 702 DIAS CALENDARIO) PRIMER INCUMPLIMIENTO",
4,2020-10-01,"#eleccionesnacionales2020 #TSE - #ministeriodejusticia #DerechosHumanos 
LOS MILITANTES AFILIADOS QUE DEFENDEMOS NUESTRA ORGANIZACION DE INJERENCIA POLITICA DE NO MILITANTES QUE MANEJAN NUESTRA ORGANIZACION LEJOS DEL CUMPLIMIENTO LEGAL DE NUESTROS ESTATUTOS DAMOS A CONOCER EL INCUMPLIENTO 
DE LA RESOLUCION ADMINISTRATIVA  2.- TSE -RSP- JUR N°013/2019 de fecha 12 de junio 2019  (CON INCUMPLIMIENTO DE 477 DIAS CALENDARIO) segundo  INCUMPLIMIENTO",
5,2020-10-01,"#eleccionesnacionales2020 #TSE - #ministeriodejusticia #DerechosHumanos 
LOS MILITANTES AFILIADOS QUE DEFENDEMOS NUESTRA ORGANIZACION DE INJERENCIA POLITICA DE NO MILITANTES QUE MANEJAN NUESTRA ORGANIZACION LEJOS DEL CUMPLIMIENTO LEGAL DE NUESTROS ESTATUTOS DAMOS A CONOCER EL INCUMPLIENTO 
DE LA RESOLUCION ADMINISTRATIVA  3.- TSE -RSP- JUR N°003/2020 de fecha 31 de Enero 2020  (CON INCUMPLIMIENTO DE 244 DIAS CALENDARIO) tercer   INCUMPLIMIENTO",
6,2020-10-01,"#eleccionesnacionales2020 #TSE - #ministeriodejusticia #DerechosHumanos 
LOS MILITANTES AFILIADOS QUE DEFENDEMOS NUESTRA ORGANIZACION DE INJERENCIA POLITICA DE NO MILITANTES QUE MANEJAN NUESTRA ORGANIZACION LEJOS DEL CUMPLIMIENTO LEGAL DE NUESTROS ESTATUTOS DAMOS A CONOCER EL INCUMPLIENTO 
DE LA RESOLUCION ADMINISTRATIVA  4.- TSE -NOTA PRES N°029/2020 de fecha 31 de Enero  2020  (CON INCUMPLIMIENTO DE243DIAS CALENDARIO) cuarto  INCUMPLIMIENTO",
7,2020-10-01,"#EleccionesGenerales2020 #DerechosHumanos #MinisteriodeJusticia  #OEP #PANBOL
 COMO MILITANTES AFILIADOS LEGALMENTE REGISTRADOS EN PAN-BOL EN DEFENSA DE NUESTROS DERECHOS POLITICOS Y DERECHOS CONSTITUCIONALES ANTE EL INCUMPLIMIENTO DE 818 DIAS CALENDARIO DE LOS ART32,25,38 NOS ADHERIMOS A LA DENUNCIA INCUMPLIMIENTO ART. 210 PARRAFO II. C.P.E.; ART.19 INCISO 3; INCISO 4  LEY N°018 POR INOBSERVANCIA (PLAZOS)  3 RESOLUCIONES EMITIDAS POR SALA PLENA RES- TSE- RSP- N° 0512/2018 DE FECHA 30 DE OCTUBRE DE 2018; RES-TSE-RSP-JUR-N°013/2019 DE FECHA 12 DE JUNIO DE 2019; RESOLUCIÓN JURISDICCIONAL 003/2020 DE FECHA 31 DE ENERO 2020. Y TSE -PRES- N°029/2020 DE FECHA 23 DE ENERO DE 2020 INCUMPLIMIENTO EN EL ART. 58 INCISO G;E LEY 1096– EXIJIMOS T.S.E SE DICTE ACEFALIA DIRIGENCIAL DE FACTO POR PREVARICACIÓN DE PLAZOS SEÑALADOS DEL ART. 32,25, 38 ESTATUTOS DE PAN-BOL “PARTIDO DE ACCION NACIONAL BOLIVIANO” EL TRIBUNAL SUPREMO ELECTORAL NO PUEDE PARCIALIZARCE CON CIUDADANOS NO MILITANTES DIRIGENCIA ILEGAL SE ESTA CONCULCANDO EL DERECHO ELECTORAL Y EL ART 11 DE LA CONSTITUCION POLITICA DEL ESTADO.",
8,2020-10-01,Los derechos de las organizaciones políticas faculta a recibir información confiable pronta y oportuna pese a ello hay un retardo de nuestras solicitudes .pues las autorizaciones están facultados bajo el art 24 a proporcionar a información al peticionario de manera pronta y oportuna SE EXIJE cumplimiento de la ley Electoral  del #OEP #TSE más cuando hay pruebas fundamentales que van contra nuestro estatuto art 34 que dicta que para asumir cualquier cargo en la dirección Nacional se debe estar afiliado con PRUEBA entregada por el Máximo ente Electoral.,
9,2020-10-02,"#EleccionesGenerales2020
#DerechosHumanos
#TSE
#OEP
#Bolivia
#democracia
La militancia afiliada solicito al TSE Supervisión y fiscalización sobre el cumpliendo de nuestro Estatuto desde el 28 de Agosto de 2018 referido a la elección de su dirigencia ante el incumplimiento del art 32,25,38  ,pasan hasta el día de hoy más de 815 días de incumplimiento de nuestro estatuto estos Actos quitaron el derecho a todo su afiliado de elegir y ser elegido de manera Democrática.
A mas de 80 denuncias fundamentadas con pruebas que demuestras abusos y una rebeldía contante de no someterse a la ley electoral.
Logramos 3 Resoluciones que el ente Máximo Electoral no dio cumpliendo plazos vinculantes que no fueron acatados las resoluciones son Resolucion TSE RSP ADM N 512/2018 de fecha 30 de octubre de 2018( de cumplimiento obligatorio)---Resolucion TSE RSP JUR No 013/2019 de fecha 12 de junio de 2019(primera conminatoria 10 días de plazo para su estricto cumpliendo)  ---- Resolución TSE RSP Jurisdicional No 003/2020 de 31 de Enero de 2020(Segunda Conminatoria 10 días plazo para su estricto cumpliendo)----- Nota presidencial TSE PRES No 029/2020 de fecha 23 de enero 2020 ( Segunda Conminatoria 10 días plazo ) pese que el decreto presidencial de cuarenta fue dictado a 50 días de incumplimiento de la resolución 003 ; la inobservancia del TSE de importancia del cumplimiento de las leyes 1096;018;026;CPE ocasionó vulneración de derecho a la petición
Vulneración al derecho político y constituciónal de todo su afiliado legalmente registrado. Con el único fin de Democratizar PanBol exijimos se de cumplimiento obligatorio a nuestro Estatuto y así también sanción por infracciones graves a ciudadanos que no respetaron nuestro estatuto ,ley electoral y leyes vigentes bajo los derecho políticos que nos otorga la CPE y Pacto de San José como derechos fundamentales.
Hay acefalia de cargo desde la omisión del art 32  habiendo concluido ese plazo el 06 de agosto de 2018 y otros más agravados como el uso de documentos No autorizados que van contra el art 25 de la CPE y art 11 de la Ley de Pacto de San José más si el Sereci es dependiente del OEP.
Del cual más de una vez se pidió nulidad a este ente Electoral que tiene toda la obligación jurisdicciónal de hacer respetar la CPE y hacer cumplir a las organizaciones políticas sus Estatutos y toda la normativa Electoral .
Ante todos estos atropellos e incumplimiento de la ley electoral de no hacer cumplir resoluciones y seguir dando prórrogas y mostrar parcialidad ,dañando el art 11 de la Constitución política del estado .
Todo acto provocado por estás personas denunciadas desde 2018 estaría carente de legalidad por lo que son Nulos de pleno derecho.
Y los daños que se causen al patrimonio serán entera responsabilidad de los infractores y el Máximo Ente Electoral por no cumplir con el control solicitado desde el 28 de Agosto de 2018 y tutelar el derecho político de cada militante Afiliado.",
