,text,value
0,07,1.99759785875039
1,2020,5.423048923733134
2,29,1.560895851988537
3,2dodebatepresidencial,1.279432891841137
4,30,1.157692545023042
5,arce,1.651722181684594
6,años,1.156638816680309
7,bolivia,3.8279360185214473
8,carlos,2.484249586606036
9,debate,2.0693092757708884
10,debatepresidencial,1.4687306296730827
11,democracia,1.1899208734702373
12,economía,1.4278982879034419
13,evo,1.9474082450090893
14,fraude,1.3016126846857183
15,lunes,1.4846809131162162
16,martes,1.560895851988537
17,mentiras,1.814277282340964
18,miercoles,2.802091413460145
19,octubre,3.738380259541669
20,prensa,1.16886289084691
21,presidencial,1.7120092157355806
22,propuestas,1.228551832995872
23,quiroga,1.4571826351173054
24,revista,1.1810703155395361
25,septiembre,3.1791704907920937
26,tuto,1.4571826351173054
27,unitel,1.1810703155395361
28,valverde,1.8358030604988445
29,viernes,1.3331828847053293
