text,created_at
"En el país existen más incendios forestales que el año pasado y, de acuerdo con una evaluación realizada por la Fundación Solón, “si la tendencia continúa, vamos a una pandemia del fuego” que agravará la crisis económica y hará difícil sofocar los fuegos.",2020-09-18
"🎶MAS, MAS, MAS, ya somos MAS
a someternos nunca más... ✊🏽",2020-09-18
"Nuestro candidato presidencial Lucho Arce, participa del panel internacional ""Recuperar la democracia en América Latina"". Sigamosló en Vivo:",2020-09-18
"#YoLucho✊🏽
¡Comparte!",2020-09-18
"Buenos días hermanas y hermanos, estamos en La Paz ✊🏽
#Caminata
#VamosASalirAdelante
#SomosMillones
#SomosMAS",2020-09-19
Llegando a Senkata ✊🏽,2020-09-19
"Fuerza hermanxs de Cotagaita, Potosí✊🏽
#SomosMillones
#SomosMAS",2020-09-19
"Senkata de Pie, nunca de rodillas ✊🏽",2020-09-19
🎶Somos Mayoría✊🏽,2020-09-19
Hasta la Victoria hermanxs ✊🏽,2020-09-19
"Restando un mes para las elecciones de octubre de 2020, en Bolivia, el analista Guillaume Long del Centro de Investigación Económica y Política (CEPR, por sus siglas en inglés), aseguró que “la OEA manipuló información y escondió sus propios hallazgos” sobre las elecciones de octubre de 2019.",2020-09-19
"Maratónica de nuestro binomio Lucho Arce y  David Choquehuanca de nuevo en la ciudad de La Paz, después de estar en Senkata. Fuerza ✊🏽",2020-09-19
"Hasta la Victoria de Octubre ✊🏽
#Caminata 
#LaPaz
#Cementerio
#Tembladerani
#VamosASalirAdelante",2020-09-19
"Vamos por la victoria en Beni✊🏽
Gran Caravana en Riberalta, mucha fuerza hermanas y hermanos benianos.",2020-09-19
"La Paz da su respaldo al binomio Lucho Arce y David Choquehuanca ✊🏽
",2020-09-19
"Nuestros candidatos Lucho Arce y David Choquehuanca se dirigen a la masiva concentración de hermanos paceños y paceñas en la Caminata por nuestros Barrios de La Paz. ✊🏽
",2020-09-19
"#LaPaz
La Victoria en Octubre, será del Pueblo✊🏽
",2020-09-19
"#Ahora Nuestro candidato Lucho Arce en vivo en C5N, Síguelo por el siguiente link:
https://youtu.be/Jzk1VTPH8q8",2020-09-19
"A las 6 de la mañana estaba con nuestras hermanas ""mañaneras"", luego subió a Senkata, volvió a bajar para realizar una caminata desde el Cementerio hasta Tembladerani, se reunió con dos organizaciones, acaba de dar una entrevista internacional y ahora estará en UPEA Television. Ese es nuestro candidato ✊🏽
#YoLucho
#VamosASalirAdelante",2020-09-19
"#EnVivo
Lucho Arce en UPEA Televisión:",2020-09-19
🎉¡Vamos por los 50.000👍🏽!,2020-09-20
"Lucho Arce en entrevista con medios comunitarios de Los Yungas. 
También lo puedes escuchar en vivo por: http://www.redyungas.com.bo/",2020-09-20
