,created_at,original,translated
0,2020-09-18,"En el país existen más incendios forestales que el año pasado y, de acuerdo con una evaluación realizada por la Fundación Solón, “si la tendencia continúa, vamos a una pandemia del fuego” que agravará la crisis económica y hará difícil sofocar los fuegos.","In the country's forest fires are more than last year, according to an assessment by the Fundación Solón, ""if the trend continues, we will pandemic fire"" will exacerbate the economic crisis and make it difficult to quell the fires."
1,2020-09-18,"🎶MAS, MAS, MAS, ya somos MAS
a someternos nunca más... ✊🏽",
2,2020-09-18,"Nuestro candidato presidencial Lucho Arce, participa del panel internacional ""Recuperar la democracia en América Latina"". Sigamosló en Vivo:","Our presidential candidate Lucho Arce, participates in the international panel ""restoring democracy in Latin America"". You follow Him Live:"
3,2020-09-18,"#YoLucho✊🏽
¡Comparte!",
4,2020-09-19,"Buenos días hermanas y hermanos, estamos en La Paz ✊🏽
#Caminata
#VamosASalirAdelante
#SomosMillones
#SomosMAS",
5,2020-09-19,Llegando a Senkata ✊🏽,
6,2020-09-19,"Fuerza hermanxs de Cotagaita, Potosí✊🏽
#SomosMillones
#SomosMAS",
7,2020-09-19,"Senkata de Pie, nunca de rodillas ✊🏽",
8,2020-09-19,🎶Somos Mayoría✊🏽,
9,2020-09-19,Hasta la Victoria hermanxs ✊🏽,
10,2020-09-19,"Restando un mes para las elecciones de octubre de 2020, en Bolivia, el analista Guillaume Long del Centro de Investigación Económica y Política (CEPR, por sus siglas en inglés), aseguró que “la OEA manipuló información y escondió sus propios hallazgos” sobre las elecciones de octubre de 2019.","Subtracting one month to the elections of October 2020, in Bolivia, the analyst Guillaume Long of the Center for Economic and Policy Research (CEPR, for its acronym in English) said that ""the OAS manipulated information and hid his own findings"" on October 2019 elections."
11,2020-09-19,"Maratónica de nuestro binomio Lucho Arce y  David Choquehuanca de nuevo en la ciudad de La Paz, después de estar en Senkata. Fuerza ✊🏽",
12,2020-09-19,"Hasta la Victoria de Octubre ✊🏽
#Caminata 
#LaPaz
#Cementerio
#Tembladerani
#VamosASalirAdelante",
13,2020-09-19,"Vamos por la victoria en Beni✊🏽
Gran Caravana en Riberalta, mucha fuerza hermanas y hermanos benianos.",
14,2020-09-19,"La Paz da su respaldo al binomio Lucho Arce y David Choquehuanca ✊🏽
",
15,2020-09-19,"Nuestros candidatos Lucho Arce y David Choquehuanca se dirigen a la masiva concentración de hermanos paceños y paceñas en la Caminata por nuestros Barrios de La Paz. ✊🏽
",
16,2020-09-19,"#LaPaz
La Victoria en Octubre, será del Pueblo✊🏽
",
17,2020-09-19,"#Ahora Nuestro candidato Lucho Arce en vivo en C5N, Síguelo por el siguiente link:
https://youtu.be/Jzk1VTPH8q8","#Now Our candidate Lucho Arce live C5N, Síguelo by the following link:
https://youtu.be/Jzk1VTPH8q8"
18,2020-09-19,"A las 6 de la mañana estaba con nuestras hermanas ""mañaneras"", luego subió a Senkata, volvió a bajar para realizar una caminata desde el Cementerio hasta Tembladerani, se reunió con dos organizaciones, acaba de dar una entrevista internacional y ahora estará en UPEA Television. Ese es nuestro candidato ✊🏽
#YoLucho
#VamosASalirAdelante",
19,2020-09-19,"#EnVivo
Lucho Arce en UPEA Televisión:","#Live
Lucho Arce in UPEA Television:"
20,2020-09-20,🎉¡Vamos por los 50.000👍🏽!,
21,2020-09-20,"Lucho Arce en entrevista con medios comunitarios de Los Yungas. 
También lo puedes escuchar en vivo por: http://www.redyungas.com.bo/","Lucho Arce in community media interview with Los Yungas.
You can also listen to live by: http://www.redyungas.com.bo/"
22,2020-09-20,"🚲Vamos con fuerza hermanxs de Sacaba✊🏽
#CaravanaBicicletas
#SomosMAS",
23,2020-09-20,"El candidato presidencial del Movimiento Al Socialismo (MAS), Lucho Arce, repudió las agresiones y la violencia ejercida en contra de militantes de ese partido en Cochabamba, donde, al igual que en otros departamentos, se llevaron adelante movilizaciones a favor del binomio azul.","The presidential candidate of the Movement to Socialism (MAS), Lucho Arce, condemned the attacks and violence against activists of the party in Cochabamba, where, the same as in other departments, mobilizations were carried forward in favor of the blue binomial."
24,2020-09-20,"El poder de tus brazos Oruro ✊🏽
#SomosOruro 
#SomosMAS",
25,2020-09-20,"Nuestro hermano Andrónico Rodríguez ayer en Ascensión de Guarayos, la capital productora de la Piña ✊🏽
#Unidos
#SomosMillones 
#SomosMAS",
