text,created_at
"¡Vamos con todo! Acompáñanos a una transmisión en vivo desde #SantaCruz, te esperamos a las 10:00 horas. #PrimeroLaGente",18/9/2020
"Espero que puedas acompañarme👇
11:30-Programa: Desayuno con Gary Añez 
https://m.facebook.com/AsContenidosBolivia/
19:00-Programa: El Avispero
https://www.facebook.com/RadioErbol100.9FM/
https://www.facebook.com/LaPublicaBolivia/",18/9/2020
"En conferencia de prensa desde #SantaCruz, reafirmamos que Comunidad Ciudadana derrotará al MAS con la ayuda del voto popular; será el votante  el que nos ayude a frenar de una vez por todas al fraude y la corrupción. #PrimeroLaGente",18/9/2020
#EnVivo,18/9/2020
"¡Gracias #SantaCruz! 👋 Estoy seguro que unidos vamos a derrotar al MAS en las urnas. 
¡Vamos por el triunfo en primera vuelta! #PrimeroLaGente",18/9/2020
"Comunidad Ciudadana plantea soluciones serias para Bolivia, los invito a conocer nuestro programa completo👇. Me dará mucho gusto leer sus opiniones y sugerencias. 
#PrimeroLaGente",18/9/2020
"#PrimeroLaGente| En los empleos públicos se valorará el mérito y no el color político, ese es nuestro compromiso.",18/9/2020
"Acompáñame esta noche por 👉 https://www.facebook.com/paginasiete/ 
#PrimeroLaGente",18/9/2020
¡No se la pueden perder! Hoy a las 22:00 horas por esta página. #PrimeroLaGente,18/9/2020
#EnVivo con Fernando del Rincón #Conclusiones #CNN #ConcluMesa,18/9/2020
#PorSiNoLoViste comparto la entrevista que me realizó Fernando del Rincón en #ConclusionesCNN.,19/9/2020
Es hora de un gobierno que ponga a la gente primero. #PrimeroLaGente,19/9/2020
"Reitero mi admiración y respeto profundo a la noble y valerosa ciudad de Oruro y a sus habitantes, a los que Bolivia les debe tanto, y pido firmemente que los políticos se abstengan de hacer afirmaciones que dañen la dignidad de las personas.",19/9/2020
¡Llegó el momento! Derrotemos al MAS en las urnas. #PrimeroLaGente,20/9/2020
Acompáñame hoy a las 22:00 horas👌 #PrimeroLaGente,20/9/2020
"Tenemos un plan de 4 puntos contra la pandemia: 
1) Más personal médico 
2) Más equipamiento
 3) Pruebas gratuitas
 4) Cuando la vacuna esté lista nos encargaremos de que llegue primero a los más necesitados.
Además, pondremos en marcha el tratamiento gratuito contra el cáncer. #PrimeroLaGente",20/9/2020
#EnVivo por “Así Decidimos”,20/9/2020
#PrimeroLaGente,21/9/2020
"En todos los momentos que se los llamó para ayudar y servir, las y los #médicos bolivianos estuvieron presentes. Durante la terrible pandemia que aún padecemos, su valor, generosidad y profesionalismo son los escudos que nos protegen.  Su día es nuestro día.  #FelizDiaDelMedico",21/9/2020
"#EnEntrevista| El MAS NO volverá al poder, así que si Morales vuelve a #Bolivia será para rendir cuentas por sus actos. Soy el único candidato que le ha abierto un proceso judicial por el enorme fraude electoral de 2019.
#PrimeroLaGente",21/9/2020
Somos el equipo que pondrá primero a la gente y con tu apoyo vamos a derrotar al MAS en las urnas. ¡Vamos Bolivia! #PrimeroLaGente,21/9/2020
"Tenemos que recuperar, mantener y crear nuevos empleos. #PrimeroLaGente",21/9/2020
"Mañana tenemos una cita por 👇
⏰07:00 - Programa: El Mañanero
https://www.facebook.com/MananeroCbba/
https://www.reduno.com.bo/senal-en-vivo
⏰07:30 - Programa: A primera hora 
https://www.facebook.com/eldeberradio/",21/9/2020
"#EnVivo por ""El Mañanero""",22/9/2020
"#EnVivo por ""El Deber Radio - A Primera Hora""",22/9/2020
"Una vez que la vacuna del coronavirus esté lista nos encargaremos de que llegue primero a los más necesitados. 
#PrimeroLaGente",22/9/2020
"Nosotros pondremos a la gente primero y no toleraremos la corrupción, por eso: 1) haremos público cada boliviano gastado en la lucha contra el coronavirus y 2) pondremos cámaras anticorrupción. #PrimeroLaGente",22/9/2020
"Los espero mañana por👇
⏰07:10 - Programa: RTP Informa 
http://www.rtpbolivia.com.bo/en-vivo/
⏰19:00 - Revista Energía Bolivia
https://www.facebook.com/EnergiaBolivia/",23/9/2020
"#EnVivo por ""RTP Informa""",23/9/2020
"Para ganarle al #coronavirus necesitamos más personal médico, equipamiento y pruebas gratuitas. #PrimeroLaGente",23/9/2020
"#EnVivo en ""Energia Bolivia""",23/9/2020
"Tenemos un plan para salvar y crear nuevos empleos: 
1) Apoyo directo a sectores productivos 
2) Créditos accesibles a las microempresas 
3) En los empleos públicos vamos a valorar el mérito y no el color político. #PrimeroLaGente
",24/9/2020
"Los espero mañana por 👇
⏰07:30 - Bolivisión
http://www.redbolivision.tv.bo/envivo
⏰10:00 - Radio Doble 8
https://www.facebook.com/contactobolivia/
⏰18:30 - El Deber
https://m.facebook.com/GrupoELDEBER/",24/9/2020
"#EnVivo Por ""Bolivisión - La Revista al Día""",24/9/2020
"El espíritu cruceño sigue creativo, positivo, con la sonrisa puesta y con la decisión de transformar Bolivia. ¡Felicidades Santa Cruz! ustedes son referente fundamental del país y el espacio cosmopolita que une a todas y todos los bolivianos.",24/9/2020
"¡Felicidades Pando! Mi compromiso con ustedes es el de un futuro mejor, mucho mucho mejor.",24/9/2020
"#ENVIVO por ""Contacto Bolivia""",24/9/2020
¡Viva Santa Cruz!,24/9/2020
"#EnVivo en ""El Deber Streaming""",24/9/2020
Después de ganarle a la pandemia pondremos en marcha el tratamiento gratuito contra el cáncer. #PrimeroLaGente,24/9/2020
"Mañana los espero en las siguientes entrevistas👇
⏰07:30 - Abya Yala TV
https://www.facebook.com/AbyaYalaTv/
⏰10:00 - Radio Pío XII 
https://www.facebook.com/Pio12Cbba/",24/9/2020
"#EnVivo en ""Abya Yala - Despierta pais""
",25/9/2020
#EnVivo,25/9/2020
