,created_at,original,translated
0,18/9/2020,"¡Vamos con todo! Acompáñanos a una transmisión en vivo desde #SantaCruz, te esperamos a las 10:00 horas. #PrimeroLaGente","Come all! Join us for a live broadcast from #SantaCruz, see you at 10:00. #PrimeroLaGente"
1,18/9/2020,"Espero que puedas acompañarme👇
11:30-Programa: Desayuno con Gary Añez 
https://m.facebook.com/AsContenidosBolivia/
19:00-Programa: El Avispero
https://www.facebook.com/RadioErbol100.9FM/
https://www.facebook.com/LaPublicaBolivia/",
2,18/9/2020,"En conferencia de prensa desde #SantaCruz, reafirmamos que Comunidad Ciudadana derrotará al MAS con la ayuda del voto popular; será el votante  el que nos ayude a frenar de una vez por todas al fraude y la corrupción. #PrimeroLaGente","At a press conference from #SantaCruz, we reaffirm that Community Citizen defeat the MAS with the help of the popular vote; the voter will help us stop once and for all fraud and corruption. #PrimeroLaGente"
3,18/9/2020,#EnVivo,#EnVivo
4,18/9/2020,"¡Gracias #SantaCruz! 👋 Estoy seguro que unidos vamos a derrotar al MAS en las urnas. 
¡Vamos por el triunfo en primera vuelta! #PrimeroLaGente",
5,18/9/2020,"Comunidad Ciudadana plantea soluciones serias para Bolivia, los invito a conocer nuestro programa completo👇. Me dará mucho gusto leer sus opiniones y sugerencias. 
#PrimeroLaGente",
6,18/9/2020,"#PrimeroLaGente| En los empleos públicos se valorará el mérito y no el color político, ese es nuestro compromiso.","#PrimeroLaGente | In public employment merit and not political color, that is our commitment will be assessed."
7,18/9/2020,"Acompáñame esta noche por 👉 https://www.facebook.com/paginasiete/ 
#PrimeroLaGente",
8,18/9/2020,¡No se la pueden perder! Hoy a las 22:00 horas por esta página. #PrimeroLaGente,You can not miss it! Today at 22:00 hours this page. #PrimeroLaGente
9,18/9/2020,#EnVivo con Fernando del Rincón #Conclusiones #CNN #ConcluMesa,
10,19/9/2020,#PorSiNoLoViste comparto la entrevista que me realizó Fernando del Rincón en #ConclusionesCNN.,I #PorSiNoLoViste share the interview that made me Fernando de Rincon in #ConclusionesCNN.
11,19/9/2020,Es hora de un gobierno que ponga a la gente primero. #PrimeroLaGente,It's time for a government that puts people first. #PrimeroLaGente
12,19/9/2020,"Reitero mi admiración y respeto profundo a la noble y valerosa ciudad de Oruro y a sus habitantes, a los que Bolivia les debe tanto, y pido firmemente que los políticos se abstengan de hacer afirmaciones que dañen la dignidad de las personas.","I reiterate my admiration and deep respect for the noble and courageous city of Oruro and its inhabitants, to which Bolivia owed so much, and strongly urge politicians to refrain from making statements that damage the dignity of persons."
13,20/9/2020,¡Llegó el momento! Derrotemos al MAS en las urnas. #PrimeroLaGente,The time has come! MAS we defeat at the polls. #PrimeroLaGente
14,20/9/2020,Acompáñame hoy a las 22:00 horas👌 #PrimeroLaGente,
15,20/9/2020,"Tenemos un plan de 4 puntos contra la pandemia: 
1) Más personal médico 
2) Más equipamiento
 3) Pruebas gratuitas
 4) Cuando la vacuna esté lista nos encargaremos de que llegue primero a los más necesitados.
Además, pondremos en marcha el tratamiento gratuito contra el cáncer. #PrimeroLaGente",
16,20/9/2020,#EnVivo por “Así Decidimos”,
17,21/9/2020,#PrimeroLaGente,#PrimeroLaGente
18,21/9/2020,"En todos los momentos que se los llamó para ayudar y servir, las y los #médicos bolivianos estuvieron presentes. Durante la terrible pandemia que aún padecemos, su valor, generosidad y profesionalismo son los escudos que nos protegen.  Su día es nuestro día.  #FelizDiaDelMedico","At all times we were called to help and serve the and # Bolivian doctors were present. During the terrible pandemic that still suffer, your courage, generosity and professionalism are the shields that protect us. Your day is our day. #FelizDiaDelMedico"
19,21/9/2020,"#EnEntrevista| El MAS NO volverá al poder, así que si Morales vuelve a #Bolivia será para rendir cuentas por sus actos. Soy el único candidato que le ha abierto un proceso judicial por el enorme fraude electoral de 2019.
#PrimeroLaGente","#EnEntrevista | MAS will not return to power, so if Morales returns to #Bolivia be held to account for their actions. I am the only candidate who has opened a judicial process by the huge electoral fraud of 2019.
#PrimeroLaGente"
20,21/9/2020,Somos el equipo que pondrá primero a la gente y con tu apoyo vamos a derrotar al MAS en las urnas. ¡Vamos Bolivia! #PrimeroLaGente,We are the team that put people first and your support we will defeat the MAS at the polls. Bolivia Come on! #PrimeroLaGente
21,21/9/2020,"Tenemos que recuperar, mantener y crear nuevos empleos. #PrimeroLaGente","We need to recover, maintain and create new jobs. #PrimeroLaGente"
22,21/9/2020,"Mañana tenemos una cita por 👇
⏰07:00 - Programa: El Mañanero
https://www.facebook.com/MananeroCbba/
https://www.reduno.com.bo/senal-en-vivo
⏰07:30 - Programa: A primera hora 
https://www.facebook.com/eldeberradio/",
23,22/9/2020,"#EnVivo por ""El Mañanero""","#EnVivo by ""The Mañanero"""
24,22/9/2020,"#EnVivo por ""El Deber Radio - A Primera Hora""","#EnVivo by ""El Deber Radio - A Primera Hora"""
