,text,value
0,00,2.9124779590156376
1,10,2.037728588007719
2,18,2.8621772661992404
3,bolivia,7.1248337813191815
4,ciudadana,2.1430547506261473
5,com,3.913251518332093
6,comunidad,2.1430547506261473
7,conferencia,3.1102202775018686
8,corrupción,3.8922747633956467
9,cruz,3.2450371434128362
10,deber,2.1518673244678013
11,envivo,17.745839574972898
12,espero,2.009712770118913
13,facebook,3.727522424885828
14,faltan,3.62348683431786
15,fraude,3.2924858284539975
16,gente,3.4957444340178006
17,gobierno,2.2355086025321267
18,historia,2.8268279451928064
19,https,3.7591936597090725
20,octubre,2.603610779114669
21,pido,2.017131089690616
22,pondremos,2.0567340894158472
23,prensa,3.1102202775018686
24,primerolagente,11.32146320880129
25,radio,2.331306727011055
26,santa,3.2450371434128362
27,urnas,2.430636862554845
28,voto,2.4572840499544424
29,www,3.282258136063256
