text,created_at
"#Bolivia sufre hoy tres crisis: salud, desempleo y corrupción. En Comunidad Ciudadana pondremos a la gente primero. ¡Conoce nuestras propuestas! #PrimeroLaGente",18/9/2020
¿Qué tal el color de ese cubrebocas? 😉,18/9/2020
"Hablemos de propuestas: en los empleos públicos se valorará el mérito y no el color político, ese es nuestro compromiso.",18/9/2020
Es hora de un gobierno que ponga a la gente primero. #PrimeroLaGente,19/9/2020
"Reitero mi admiración y respeto profundo a la noble y valerosa ciudad de #Oruro y a sus habitantes, a los que #Bolivia les debe tanto, y pido firmemente que los políticos se abstengan de hacer afirmaciones que dañen la dignidad de las personas.",19/9/2020
¡Llegó el momento! Derrotemos al MAS en las urnas. #PrimeroLaGente,20/9/2020
Tenemos un plan de 4 puntos contra la pandemia: 1)más personal médico 2)más equipamiento 3)pruebas gratuitas 4) cuando la vacuna esté lista nos encargaremos de que llegue primero a los más necesitados. #PrimeroLaGente,20/9/2020
#PrimeroLaGente,21/9/2020
"En todos los momentos que se los llamó para ayudar y servir, las y los #médicos bolivianos estuvieron presentes. Durante la terrible pandemia que aún padecemos, su valor, generosidad y profesionalismo son los escudos que nos protegen. Su día es nuestro día. #FelizDíaDelMédico",21/9/2020
"#EnEntrevista| El MAS NO volverá al poder, así que si Morales vuelve a #Bolivia será para rendir cuentas por sus actos. Soy el único candidato que le ha abierto un proceso judicial por el enorme fraude electoral de 2019.",21/9/2020
Somos el equipo que pondrá primero a la gente y con tu apoyo vamos a derrotar al MAS en las urnas. ¡Vamos #Bolivia! #PrimeroLaGente,21/9/2020
#PrimeroLaGente,22/9/2020
"Una vez que la vacuna del coronavirus esté lista nos encargaremos de que llegue primero a los más necesitados.
#PrimeroLaGente",22/9/2020
"Nosotros pondremos a la gente primero y no toleraremos la corrupción, por eso: 1) haremos público cada boliviano gastado en la lucha contra el coronavirus y 2) pondremos cámaras anticorrupción. #PrimeroLaGente",22/9/2020
"Para ganarle al #coronavirus necesitamos más personal médico, equipamiento y pruebas gratuitas. #PrimeroLaGente",23/9/2020
"Tenemos un plan para salvar y crear nuevos empleos:
1) Apoyo directo a sectores productivos
2) Créditos accesibles a las microempresas
3) En los empleos públicos vamos a valorar el mérito y no el color político. #PrimeroLaGente",23/9/2020
"El espíritu cruceño sigue creativo, positivo, con la sonrisa puesta y con la decisión de transformar #Bolivia. ¡Felicidades #SantaCruz! ustedes son referente fundamental del país y el espacio cosmopolita que une a todas y todos los bolivianos.",24/9/2020
"Verificado
¡Felicidades #Pando! Mi compromiso con ustedes es el de un futuro mejor, mucho mucho mejor.",24/9/2020
Después de ganarle a la pandemia pondremos en marcha el tratamiento gratuito contra el cáncer. #PrimeroLaGente,24/9/2020
