,created_at,original,translated
0,18/9/2020,"#Bolivia sufre hoy tres crisis: salud, desempleo y corrupción. En Comunidad Ciudadana pondremos a la gente primero. ¡Conoce nuestras propuestas! #PrimeroLaGente","#Bolivia today suffers three crises: health, unemployment and corruption. Citizens Community will in people first. Meet our proposals! #PrimeroLaGente"
1,18/9/2020,¿Qué tal el color de ese cubrebocas? 😉,
2,18/9/2020,"Hablemos de propuestas: en los empleos públicos se valorará el mérito y no el color político, ese es nuestro compromiso.","Let's talk about proposals: public employment merit and not political color, that is our commitment will be assessed."
3,19/9/2020,Es hora de un gobierno que ponga a la gente primero. #PrimeroLaGente,It's time for a government that puts people first. #PrimeroLaGente
4,19/9/2020,"Reitero mi admiración y respeto profundo a la noble y valerosa ciudad de #Oruro y a sus habitantes, a los que #Bolivia les debe tanto, y pido firmemente que los políticos se abstengan de hacer afirmaciones que dañen la dignidad de las personas.","I reiterate my admiration and deep respect for the noble and courageous #Oruro city and its inhabitants, who #Bolivia owed so much, and strongly urge politicians to refrain from making statements that damage the dignity of persons."
5,20/9/2020,¡Llegó el momento! Derrotemos al MAS en las urnas. #PrimeroLaGente,The time has come! MAS we defeat at the polls. #PrimeroLaGente
6,20/9/2020,Tenemos un plan de 4 puntos contra la pandemia: 1)más personal médico 2)más equipamiento 3)pruebas gratuitas 4) cuando la vacuna esté lista nos encargaremos de que llegue primero a los más necesitados. #PrimeroLaGente,We have a 4-point plan against the pandemic: 1) more medical staff 2) more equipment 3) free trials 4) when the vaccine is ready we'll handle comes first to those most in need. #PrimeroLaGente
7,21/9/2020,#PrimeroLaGente,#PrimeroLaGente
8,21/9/2020,"En todos los momentos que se los llamó para ayudar y servir, las y los #médicos bolivianos estuvieron presentes. Durante la terrible pandemia que aún padecemos, su valor, generosidad y profesionalismo son los escudos que nos protegen. Su día es nuestro día. #FelizDíaDelMédico","At all times we were called to help and serve the and # Bolivian doctors were present. During the terrible pandemic that still suffer, your courage, generosity and professionalism are the shields that protect us. Your day is our day. # FelizDíaDelMédico"
9,21/9/2020,"#EnEntrevista| El MAS NO volverá al poder, así que si Morales vuelve a #Bolivia será para rendir cuentas por sus actos. Soy el único candidato que le ha abierto un proceso judicial por el enorme fraude electoral de 2019.","#EnEntrevista | MAS will not return to power, so if Morales returns to #Bolivia be held to account for their actions. I am the only candidate who has opened a judicial process by the huge electoral fraud of 2019."
10,21/9/2020,Somos el equipo que pondrá primero a la gente y con tu apoyo vamos a derrotar al MAS en las urnas. ¡Vamos #Bolivia! #PrimeroLaGente,We are the team that put people first and your support we will defeat the MAS at the polls. #Bolivia Come on! #PrimeroLaGente
11,22/9/2020,#PrimeroLaGente,#PrimeroLaGente
12,22/9/2020,"Una vez que la vacuna del coronavirus esté lista nos encargaremos de que llegue primero a los más necesitados.
#PrimeroLaGente","Once the coronavirus vaccine is ready we'll handle comes first to those most in need.
#PrimeroLaGente"
13,22/9/2020,"Nosotros pondremos a la gente primero y no toleraremos la corrupción, por eso: 1) haremos público cada boliviano gastado en la lucha contra el coronavirus y 2) pondremos cámaras anticorrupción. #PrimeroLaGente","We will put people first and will not tolerate corruption, so: 1) we each spent Bolivian public in the fight against coronavirus and 2) will anticorruption cameras. #PrimeroLaGente"
