,text,value
0,18,2.835995452254924
1,bolivia,6.954208882420593
2,ciudadana,1.3392461939098883
3,color,1.1839196616190215
4,comunidad,1.3392461939098883
5,construyamos,1.6701928096909537
6,corazón,1.5722162902452632
7,coronavirus,1.3164316959609956
8,corrupción,3.143362274153401
9,empleos,1.1799706409486155
10,faltan,2.2439145689629965
11,fraude,2.823046164926784
12,futuro,1.4306376081151448
13,gente,2.7147937754639413
14,gobierno,1.2040529275107192
15,hagamos,1.30373719200279
16,historia,2.1915652291096963
17,juntos,1.8653259463887057
18,octubre,2.7255718193854626
19,pandemia,1.1346041044246722
20,pido,1.8916034103272006
21,pondremos,1.6870052312721175
22,primerolagente,8.065770201183772
23,terminar,1.6297689784128535
24,unidos,1.3467692346629643
25,urnas,1.9123988858839982
26,verificado,1.3789392900146644
27,vota,1.2930145593285114
28,voto,1.8829372789663528
29,vuelta,1.1654632458868535
