,created_at,original,translated
0,18/9/2020,"¡Creo en Oruro!

¡Gracias Oruro por el cariño, gracias por recibirnos con los brazos abiertos, gracias por creer en el cambio! Les pido que me presten su voto 5 años, me comprometo a devolverles una Bolivia productiva, con empleo, una Bolivia grande.

#CreoEnOruro #CreoEnVos","I believe in Oruro!

Oruro Thank you for the love, thanks for welcoming us with open arms, thank you for believing in change! I ask you to give me your vote 5 years, I promise to restore a productive Bolivia, with employment, Bolivia big.

#CreoEnOruro #CreoEnVos"
1,18/9/2020,"La gente está cansada de la vieja política, de la corrupción y los negociados.

Es tiempo de comenzar a construir una nueva Bolivia, una bolivia productiva, con trabajo. Una Bolivia con esperanza, que mire a futuro.

Con tu voto, vamos a llevar tu voz al poder.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder","People are tired of the old politics, corruption and negotiated.

It's time to start building a new Bolivia, Bolivia productive with work. A Bolivia with hope, to look into the future.

With your vote, we will carry your voice power.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder"
2,19/9/2020,"EL VOTO ÚTIL DEBE SER PARA QUE BOLIVIA CAMBIE DE VERDAD

Mucha gente me pregunta qué pienso del voto útil y si es la forma de encarar una elección presidencial. Acá les dejo mi respuesta.

Desde el 2009, los bolivianos fuimos a las urnas pensando en sacarnos de encima el peso de la dictadura del MAS y Evo Morales. Por eso se ha pensado en distintas formas de unidad y en el voto útil.

Pero hay que tener bien claro a quién debemos entregarle el voto útil. Si el voto útil es para que Evo Morales no vuelva, entonces no podemos votar por la vieja política que pactó y convivió con Evo Morales.

El tremendo error de Jeanine Áñez fue dejarse intimidar por los bloqueos del MAS, que le impusieron un montón de cosas, entre ellas liberar a los asesinos de los cívicos de Montero, por ejemplo. Y por eso pregunto: ¿Carlos Mesa es garantía de que el MAS y Evo Morales no vuelvan? Por su puesto que no, entre Mesa y el MAS hay una historia escrita de acuerdos y convivencias, por eso digo que entre masismo y mesismo hay solo una letra de diferencia.

Ese sería un voto útil para Evo Morales.

Nosotros creemos en el voto útil, pero un voto útil para la gente, esa que quiere que este país cambie realmente.

Si vas a votar útil, preguntate antes ¿Útil para quién? Y asegúrate de que la respuesta sea útil para vos, que querés cambiar Bolivia.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder","VOTE MUST BE HELPFUL TO BOLIVIA CHANGE OF TRUTH

Many people ask me what I think of the useful vote and if the way to face a presidential election. Here I give you my answer.

Since 2009, Bolivians went to the polls thinking about get us off the weight of the dictatorship of the MAS and Evo Morales. That's why you thought of different ways of unity and the useful vote.

But we must be clear about who we give the useful vote. If the useful vote is for Evo Morales does not return, then we can not vote for the old policy that covenant and lived with Evo Morales.

Jeanine tremendous error Áñez was being intimidated by blockades of the MAS, which imposed a lot of things, including free the murderers of civic Montero, for example. And why I ask: Carlos Mesa is a guarantee that the MAS and Evo Morales will not return? Of course not, between Mesa and MAS is a written history of agreements and cohabitation, why I say that between masismo and mesismo there is only one letter apart.

That would be a useful vote for Evo Morales.

We believe in the useful vote, but a useful vote for people, that you want this country really change.

If you go to useful vote, ask yourself before right Useful for whom? And make sure the answer is useful for you, who want to change Bolivia.

#CreoEnMiGente #CreoEnVos #TuVozAlPoder"
3,19/9/2020,"¡Mis valientes cochalas nos recibieron hoy con la esperanza de quienes saben que vamos a lograr cambiar este país!
Gracias a esas mujeres, a esos jóvenes, a esos hombres comprometidos con su pueblo que compartieron con nosotros una caravana multitudinaria, llena de alegría y entusiasmo.
Me comprometo con ustedes a llevar la voz de Cochabamba al poder.
#CreoEnCochabamba #CreoEnVos #TuVozAlPoder","My cochalas brave welcomed us today in the hope of those who know that we will achieve change this country!
Thanks to these women, these young people, these men committed to their people who shared with us a massive caravan, full of joy and enthusiasm.
I agree with you to bring the voice of Cochabamba to power.
#CreoEnCochabamba #CreoEnVos #TuVozAlPoder"
4,20/9/2020,"En mi tierra aprendí que a todos los bolivianos se los trata como hermanos, que al que llega se le abre las puertas y el corazón, que si querés trabajar no importa de dónde seas si tenés buenas intenciones, que no existe mejor silpancho que el cochala, ni gente de mayor ñeque que los mineros potosinos.

Por décadas han intentado sembrar odio entre bolivianos, pero con la pluralidad en la que vivimos en Santa Cruz es imposible.

Aquí tu amigo es paceño, tu madre es beniana (como la mía), no falta un cochala en tu frater o el yo te invito de algún Tarijeño, siempre habrá alguien que añora volver a la hermosa Sucre, o dejó Oruro por falta de oportunidades.

Aquí, Pando, Beni, La Paz, Cochabamba, Oruro, Potosí, Chuquisaca, Tarija y Santa Cruz, trabajan por un objetivo común que es salir adelante.

Con gorra o con chulo, igual somos bolivianos.

¡Buen domingo para todos!","In my learned land that treats all Bolivians as brothers, that which comes he opens the door and heart, if you want to work no matter where you are if you have good intentions, there is no better silpancho the cochala or more people ñeque that potosinos miners.

For decades they have tried to sow hatred between Bolivians, but with the plurality in which we live in Santa Cruz is impossible.

Here your friend is paceño, your mother is beniana (like mine), not missing a cochala in your Frater or I invite some Tarijeño, there will always be someone who yearns to return to the beautiful Sucre, or left Oruro due to lack of opportunities .

Here, Pando, Beni, La Paz, Cochabamba, Oruro, Potosí, Chuquisaca, Tarija and Santa Cruz, working for a common goal which is to get ahead.

With cap or cool, as we Bolivians.

Good Sunday to all!"
5,20/9/2020,"¡SOMOS UN EQUIPO, TODO POR BOLIVIA!!

Yo no tengo un equipo, nosotros ¡somos un equipo, y qué equipango!

Un grupo de gente que se mueve por valores, principios, consecuencia, lealtad, esperanza, rebeldía y amor por Bolivia.

Todos sabemos que estamos en las buenas y malas, que estamos para ayudarnos y levantarnos cuando caemos, pero siempre entre todos. Eso ¡No lo tiene nadie!

Hoy a cada uno de ustedes, incluidos los que no salen en la foto, les agradezco por creer en este proyecto, por creer en mí. Ya falta poco, cumpliremos este sueño común y haremos de Bolivia un nuevo país

¡Vamos que se puede!","WE ARE A TEAM, ALL FOR BOLIVIA !!

I have not a team, we we are a team, and what equipango!

A group of people moving by values, principles, consequently, loyalty, hope, rebellion and love for Bolivia.

We all know we are in good times and bad, we are to help and get up when we fall, but always together. That Do not have one!

Today each of you, including those not appear in the photo, I thank you for believing in this project, for believing in me. In a short while, we will fulfill this common dream and we will make a new country Bolivia

Let's go, it's possible!"
6,20/9/2020,"Soy un hombre como vos, soy hermano, soy hijo, soy padre.
Soy un hombre de familia, un hombre soñador. Me gusta trabajar en equipo, me gusta la unidad.

Este 18 de octubre, te pido que me prestes tu voto, en 5 años te devolveré un país productivo, un país con empleos, una nueva Bolivia.

Con tu voz al poder, vamos a cambiar este país.

#CreoEnVos #TuVozAlPoder","I am a man like you, am brother, I am the son, I am a father.
I am a family man, a man dreamer. I like working in a team, I like the unit.

October 18th, I ask you to lend me your vote, in 5 years will restore a productive country, a country with jobs, a new Bolivia.

With your voice to power, we will change this country.

#CreoEnVos #TuVozAlPoder"
7,21/9/2020,"¡Los jóvenes no son el futuro, son el presente de Bolivia!

Gracias Cochabamba por creer en nosotros, gracias a esos jóvenes valientes que lucharon hasta recuperar nuestra libertad, gracias a esas mujeres y a esos hombres que confían en este proyecto, que quieren cambiar Bolivia.

¡Creo en Cochabamba, creo en vos!

#TuVozAlPoder","The youth are not the future, are the present of Bolivia!

Cochabamba thanks for believing in us, thanks to those brave young men who fought to regain our freedom, thanks to these women and these men who trust in this project, they want to change Bolivia.

I believe in Cochabamba, I believe in you!

#TuVozAlPoder"
8,22/9/2020,"¡Gracias al sector salud por proclamarme como su futuro presidente!

Tienen mi compromiso, trabajaremos unidos para que los bolivianos tengan un sistema de salud digno, para que ustedes tengan las condiciones de trabajo que necesitan.

Esta pandemia desnudó las carencias de un sistema que estuvo olvidado durante 14 años, un sistema que no le interesa arreglar a los políticos pero que nosotros vamos a trasnformar.

¡Con trabajo y compromiso lo haremos posible!

#CreoEnLaSalud #CreoEnVos #TuVozAlPoder","Thank you to the health sector as its future president proclaim myself!

You have my commitment, we will work together so that Bolivians have a health system worthy, that you have working conditions they need.

This pandemic bare the shortcomings of a system that was forgotten for 14 years, a system that is not interested in fixing the politicians but we will trasnformar.

With work and commitment we will make it possible!

#CreoEnLaSalud #CreoEnVos #TuVozAlPoder"
9,22/9/2020,"SOMOS EL VOTO ÚTIL PARA LA DEMOCRACIA.

Después de 21 días en las calles tenemos un compromiso con nuestro pueblo: consolidar nuestra democracia.

No permitiremos que el MAS vuelva, no permitiremos que este país vuelva a estar en manos de delincuentes. Nosotros no pactamos, no nos vendemos, no somos serviles al socialismo.

#CreoEnVos #TuVozAlPoder","WE ARE THE VOTE HELPFUL FOR DEMOCRACY.

After 21 days on the streets we are committed to our people: to consolidate our democracy.

We will not allow the MAS back, we will not allow this country to be back in the hands of criminals. We agreed we do not, we do not sell, we are not subservient to socialism.

#CreoEnVos #TuVozAlPoder"
