,text,value
0,años,2.165154078115234
1,bolivia,5.063235442006876
2,calles,2.057867002508843
3,cambiar,1.7418445795909534
4,cambio,2.486302493683496
5,cariño,1.3427323080976525
6,cree,1.487151140927646
7,creer,2.9646732646629883
8,creoenmigente,3.171298920225889
9,creoenvos,3.8601598392223586
10,cruz,1.9207538956137609
11,encuestas,2.250412055484875
12,esperanza,1.6299720872872927
13,fe,1.3142691669453177
14,futuro,1.4111720167693862
15,gente,4.17707540606956
16,gracias,6.34927212637934
17,jóvenes,2.11872191806065
18,mejores,1.619807665372407
19,pando,1.7659069588906817
20,país,3.3229835527367504
21,política,1.4129292519445138
22,productiva,1.3010186806181456
23,santa,2.0091686513023195
24,tuvozalpoder,3.827723674434642
25,unidos,1.5175791243470333
26,vieja,1.360381956132455
27,votar,1.3276256584175778
28,voto,2.098661910139259
29,voz,1.3541598145598273
