text,created_at
"Con mi hermano @LaramaDavid visitamos a nuestras queridas hermanas y hermanos comerciantes de las poderosas ""mañaneras"" de la ciudad de #LaPaz. Gracias a su apoyo y ejemplo de trabajo #VamosASalirAdelante",2020-09-19
"Hoy visitamos el Mercado “Las mañaneras” y nos llenamos de la energía de nuestro pueblo.
#vamosasaliradelante",2020-09-19
"¡El Alto de Pie!

#VamosASalirAdelante
#VamosARecuperarLaDemocracia",2020-09-19
"Nos encontramos reunidos desde temprano con jóvenes representantes de la Confederación de Estudiantes en Formación de Maestros de #Bolivia y de la FUL UPEA, dialogando sobre la crisis educativa que estamos viviendo y trabajando colectivamente propuestas. #VamosASalirAdelante",2020-09-20
"Esta noche estaremos conversando con nuestro hermano Andrónico Rodríguez y toda la juventud. Las y los esperemos desde las 19:00 hrs. #VamosASalirAdelante

Síguenos en vivo por:
https://www.facebook.com/LuchoXBolivia/",2020-09-20
"Con nuestro hermano David Choquehuanca, convocamos a toda la juventud en su conjunto a estar presentes en el Gran Lanzamiento de nuestra Política de Juventudes.
.
Con el apoyo y aporte de la juventud reconstruiremos nuestra Patria, solo al lado de las y los jóvenes
.
#VamosASalirAdelante.",2020-09-20
Desayunamos con @LaramaDavid y nuestros compañeros lustrabotas de la ciudad de #ElAlto. Desde temprano trabajan en las calles y de seguir la crisis económica y social serán los más afectados. No queremos hambre para #Bolivia. #VamosASalirAdelante,2020-09-21
"El 18 de octubre nuestra juventud tiene una gran responsabilidad. Tu voto definirá el futuro de nuestra Patria.
#VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia #elecciones2020 #juventud #jovenes #jovenesciudadanos #dosmodelos #futuro #elegir #elegirtufuturo",2020-09-21
"¡Gracias juventud!
Muchas gracias mis hermanas y hermanos jóvenes. En sus manos está devolver a #Bolivia la estabilidad económica y social. Nuestro gobierno será de los jóvenes. #VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #juventud #primavera #democracia #futuro #bolivia #elecciones2020",2020-09-21
"¡Los jóvenes son la reserva moral de #Bolivia!

Es tiempo que la juventud participe y cumpla su rol histórico en la recuperación de la patria. Con ustedes, demostraremos que sabemos y podemos gobernar. En octubre volveremos a sonreír mis hermanas y hermanos. #VamosASalirAdelante
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #davidchoquehuanca #juventud #bolivia #futuro #democracia #elecciones2020",2020-09-21
"Conmemoramos el Día del Médico en #Bolivia rindiendo homenaje a todos los profesionales de la medicina que entregaron su vida luchando contra la pandemia. Reconocemos su sacrificio y entrega para salvar vidas a pesar de no contar con las condiciones necesarias ¡Muchas gracias!
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #diadelmedico #bolivia #pandemia #covid19 #salud #sistemadesalud #crisissanitaria",2020-09-21
"Soy #LuchoArce, candidato a presidente de #Bolivia por el MAS-IPSP, economista boliviano, docente, orgulloso de mis raíces y de caminar al lado del pueblo. Con tu apoyo, estoy seguro que #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia #elecciones2020 #democracia #economia #luchoxbolivia",2020-09-22
"¡Estamos en la capital de #Bolivia! Recorremos las calles de #Sucre recibiendo el cariño y apoyo de nuestras hermanas y hermanos. Estamos muy cerca de la victoria.

#VamosASalirAdelante.",2020-09-22
"Recuperaremos la institucionalidad cultural y potenciaremos las economías culturales y creativas, bajo la premisa de la equidad, interculturalidad y reconocimiento de su contribución al desarrollo económico y social de #Bolivia. #VamosASalirAdelante
.
#.
.
.
.
.
.
#luchoarce #luisarce #masipsp #cultura #bolivia #economiacultural",2020-09-22
"Nos encontramos reunidos con nuestras hermanas y hermanos militantes, candidatos y dirigentes de organizaciones sociales de #Chuquisaca. Escuchando sus reflexiones y planificando mejor nuestro trabajo para el beneficio del pueblo chuquisaqueño.

#VamosASalirAdelante",2020-09-22
Profundamente agradecido con mis hermanas y hermanos que nos dieron un especial recibimiento hoy en nuestro paso por el Mercado Campesino de la ciudad de #Sucre. Su apoyo nos hace más fuertes para seguir unidos en la lucha hasta nuestra victoria el 18/10. #VamosASalirAdelante,2020-09-22
"Tenemos a las y los profesionales, la capacidad y experiencia para gobernar #Bolivia. Rescataremos los mejores perfiles para el proceso de industrialización.

Gracias por sus reflexiones mis hermanas y hermanos chuquisaqueños.

#VamosASalirAdelante.",2020-09-22
