,created_at,original,translated
0,2020-09-19,"Con mi hermano @LaramaDavid visitamos a nuestras queridas hermanas y hermanos comerciantes de las poderosas ""mañaneras"" de la ciudad de #LaPaz. Gracias a su apoyo y ejemplo de trabajo #VamosASalirAdelante","My brother @LaramaDavid visited our dear sisters and brothers traders of the powerful ""mananeras"" #LaPaz city. Thanks to your support and working example #VamosASalirAdelante"
1,2020-09-19,"Hoy visitamos el Mercado “Las mañaneras” y nos llenamos de la energía de nuestro pueblo.
#vamosasaliradelante","Today we visit the Mercado ""The early morning"" and we are filled with the energy of our people.
#we will move forward"
2,2020-09-19,"¡El Alto de Pie!

#VamosASalirAdelante
#VamosARecuperarLaDemocracia","The Alto de Pie!

#We will move forward
#VamosARecuperarLaDemocracia"
3,2020-09-20,"Nos encontramos reunidos desde temprano con jóvenes representantes de la Confederación de Estudiantes en Formación de Maestros de #Bolivia y de la FUL UPEA, dialogando sobre la crisis educativa que estamos viviendo y trabajando colectivamente propuestas. #VamosASalirAdelante","We are gathered early with youth representatives from the Confederation of Students in Teacher Training #Bolivia and FUL UPEA, talking about the educational crisis we are living and working collectively proposals. #We will move forward"
4,2020-09-20,"Esta noche estaremos conversando con nuestro hermano Andrónico Rodríguez y toda la juventud. Las y los esperemos desde las 19:00 hrs. #VamosASalirAdelante

Síguenos en vivo por:
https://www.facebook.com/LuchoXBolivia/","Tonight we'll be talking to our brother Andronicus Rodriguez and all youth. The hope and from 19:00 hrs. #We will move forward

Follow live:
https://www.facebook.com/LuchoXBolivia/"
5,2020-09-20,"Con nuestro hermano David Choquehuanca, convocamos a toda la juventud en su conjunto a estar presentes en el Gran Lanzamiento de nuestra Política de Juventudes.
.
Con el apoyo y aporte de la juventud reconstruiremos nuestra Patria, solo al lado de las y los jóvenes
.
#VamosASalirAdelante.","With our brother David Choquehuanca, we call on all young people as a whole to be present at the grand launch of our Youth Policy.
.
With the support and contribution of youth we rebuild our country, just to the side of the young people
.
#We will move forward."
6,2020-09-21,Desayunamos con @LaramaDavid y nuestros compañeros lustrabotas de la ciudad de #ElAlto. Desde temprano trabajan en las calles y de seguir la crisis económica y social serán los más afectados. No queremos hambre para #Bolivia. #VamosASalirAdelante,@LaramaDavid and breakfasted with our fellow shoeshine #ElAlto city. Early work on the streets and following the economic and social crisis will be hardest hit. #Bolivia not want hunger. #We will move forward
7,2020-09-21,"El 18 de octubre nuestra juventud tiene una gran responsabilidad. Tu voto definirá el futuro de nuestra Patria.
#VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia #elecciones2020 #juventud #jovenes #jovenesciudadanos #dosmodelos #futuro #elegir #elegirtufuturo","On October 18 our youth has a great responsibility. Your vote will define the future of our country.
#We will move forward
.
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia # elecciones2020 #juventud #jovenes #jovenesciudadanos #dosmodelos #futuro #elegir #elegirtufuturo"
8,2020-09-21,"¡Gracias juventud!
Muchas gracias mis hermanas y hermanos jóvenes. En sus manos está devolver a #Bolivia la estabilidad económica y social. Nuestro gobierno será de los jóvenes. #VamosASalirAdelante
.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #juventud #primavera #democracia #futuro #bolivia #elecciones2020","Thank youth!
Thank you very much my sisters and younger brothers. In his hands it is returning to #Bolivia economic and social stability. Our government will be young people. #We will move forward
.
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #juventud #primavera #democracia #futuro #bolivia # elecciones2020"
9,2020-09-21,"¡Los jóvenes son la reserva moral de #Bolivia!

Es tiempo que la juventud participe y cumpla su rol histórico en la recuperación de la patria. Con ustedes, demostraremos que sabemos y podemos gobernar. En octubre volveremos a sonreír mis hermanas y hermanos. #VamosASalirAdelante
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #davidchoquehuanca #juventud #bolivia #futuro #democracia #elecciones2020","The youth are the moral reserve of #Bolivia!

It is time for the youth to participate and fulfill its historic role in the recovery of the country. With you, we will show that we know and can govern. In October we will smile my sisters and brothers. #We will move forward
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #davidchoquehuanca #juventud #bolivia #futuro #democracia # elecciones2020"
10,2020-09-21,"Conmemoramos el Día del Médico en #Bolivia rindiendo homenaje a todos los profesionales de la medicina que entregaron su vida luchando contra la pandemia. Reconocemos su sacrificio y entrega para salvar vidas a pesar de no contar con las condiciones necesarias ¡Muchas gracias!
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #diadelmedico #bolivia #pandemia #covid19 #salud #sistemadesalud #crisissanitaria","We commemorated the Day of the Medical #Bolivia paying tribute to all medical professionals who gave their lives fighting the pandemic. We recognize their sacrifice and dedication to save lives despite not having the necessary conditions Thank you!
.
.
.
.
.
.
.
.
#luchoarce #luisarce #masipsp #diadelmedico #bolivia #pandemia # covid19 #salud #sistemadesalud #crisissanitaria"
11,2020-09-22,"Soy #LuchoArce, candidato a presidente de #Bolivia por el MAS-IPSP, economista boliviano, docente, orgulloso de mis raíces y de caminar al lado del pueblo. Con tu apoyo, estoy seguro que #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia #elecciones2020 #democracia #economia #luchoxbolivia","I #LuchoArce, #Bolivia candidate for president of MAS-IPSP by Bolivian economist, teacher, proud of my roots and walk to the side of the people. With your support, I'm sure #VamosASalirAdelante
.
.
.
.
.
.
.
.
#luisarce #luchoarce #masipsp #bolivia # elecciones2020 #democracia #economia #luchoxbolivia"
12,2020-09-22,"¡Estamos en la capital de #Bolivia! Recorremos las calles de #Sucre recibiendo el cariño y apoyo de nuestras hermanas y hermanos. Estamos muy cerca de la victoria.

#VamosASalirAdelante.","We are in the capital of #Bolivia! We walk the streets of #Sucre receiving the love and support of our sisters and brothers. We are very close to victory.

#We will move forward."
13,2020-09-22,"Recuperaremos la institucionalidad cultural y potenciaremos las economías culturales y creativas, bajo la premisa de la equidad, interculturalidad y reconocimiento de su contribución al desarrollo económico y social de #Bolivia. #VamosASalirAdelante
.
#.
.
.
.
.
.
#luchoarce #luisarce #masipsp #cultura #bolivia #economiacultural","Recover cultural institutions and will strengthen cultural and creative economies, under the premise of equality, multiculturalism and recognition of their contribution to economic and social development of #Bolivia. #We will move forward
.
#.
.
.
.
.
.
#luchoarce #luisarce #masipsp #cultura #economiacultural #bolivia"
14,2020-09-22,"Nos encontramos reunidos con nuestras hermanas y hermanos militantes, candidatos y dirigentes de organizaciones sociales de #Chuquisaca. Escuchando sus reflexiones y planificando mejor nuestro trabajo para el beneficio del pueblo chuquisaqueño.

#VamosASalirAdelante","We are meeting with our sisters and brothers activists, candidates and leaders of social organizations #Chuquisaca. Listening to their ideas and better planning our work for the benefit of the chuquisaqueño people.

#We will move forward"
15,2020-09-22,Profundamente agradecido con mis hermanas y hermanos que nos dieron un especial recibimiento hoy en nuestro paso por el Mercado Campesino de la ciudad de #Sucre. Su apoyo nos hace más fuertes para seguir unidos en la lucha hasta nuestra victoria el 18/10. #VamosASalirAdelante,Deeply grateful to my sisters and brothers who gave us a special welcome today in our passage through the Mercado Campesino #Sucre city. Your support makes us stronger to remain united in the fight until our victory 18/10. #We will move forward
