,text,value
0,18,2.957742086009644
1,apoyo,3.6456253574179986
2,bolivia,11.388306553250631
3,boliviano,2.9089384610130193
4,cariño,3.4753724644001847
5,cochabamba,3.0693107486011977
6,democracia,3.9640890616319346
7,economía,2.686370710470695
8,económica,3.1504516863754346
9,elecciones2020,7.965997442630816
10,estabilidad,3.490143719571512
11,gracias,5.456510673994532
12,hermanas,5.6104297990153595
13,hermanos,5.623977637754725
14,juventud,2.8034776131611805
15,laramadavid,3.3489062565360386
16,litio,2.866805030485642
17,luchoarce,8.715608871294558
18,luchopresidente,3.3158444406747214
19,luchoxbolivia,5.006050830597681
20,luisarce,8.669757012766588
21,masipsp,8.295149723165098
22,octubre,3.174938501442999
23,oruro,2.375488892100143
24,patria,3.3171882062778844
25,propuestas,2.398710938136788
26,pueblo,6.963859153779248
27,recuperaremos,2.6438030535420802
28,vamosasaliradelante,9.008929979992642
29,victoria,3.521222978390056
