,text,value
0,18,3.3204744971020945
1,andronicorod,1.9566770233938857
2,bolivia,6.182599320496443
3,candidato,2.8544366480747025
4,cariño,2.0031570911482386
5,co,7.7258462539491415
6,cochabamba,2.494069697309548
7,economía,2.3638595894926113
8,elecciones,3.3937792744845234
9,estabilidad,2.616489112838694
10,evoespueblo,2.6593993336069426
11,gobierno,3.4816809279075973
12,gracias,2.6606748319268516
13,hermanas,2.845758691582735
14,hermanos,2.9632291191103812
15,https,8.113582105516446
16,ingresos,2.176324547091326
17,jóvenes,3.252110822284773
18,laramadavid,4.6930486050572835
19,luchoxbolivia,10.712613770640404
20,octubre,3.284184902470888
21,oruro,2.090297297855008
22,plan,2.331001819572684
23,política,2.209976273424306
24,presidente,2.6043586810873314
25,propuesta,2.4251602343271284
26,pueblo,4.093736081532571
27,rt,11.474995287051913
28,vamosasaliradelante,4.3493002232965585
29,vivo,2.0881194744698823
