,text,value
0,18,1.9950593420191178
1,bolivia,6.546844513063623
2,candidata,2.795669125091384
3,candidato,4.109596725039321
4,candidatos,6.120735030106825
5,carlosdmesag,8.145066544984141
6,circunscripción,2.169750772947543
7,co,8.338082454030427
8,comunidadcbo,2.221571487612507
9,construir,5.422092496317998
10,corrupción,3.1814442539453336
11,cruz,3.405434585338042
12,diputado,2.3576301240456514
13,fraude,2.632231525044299
14,gente,5.977116852298073
15,gobierno,1.962873216471058
16,gpedrazam,4.168756700387376
17,historia,1.5571194867385527
18,https,8.486506456440015
19,mesapresidente,5.759126556057552
20,octubre,1.7870626262478106
21,pando,1.5210291569362202
22,paz,1.601115507763587
23,plurinominal,2.01465534834631
24,primerolagente,6.977371519422543
25,rt,8.709910130519356
26,salud,1.660565971931006
27,santa,3.5541151561200928
28,senadora,2.0644450887118433
29,uninominal,1.6363328049931622
