,text,value
0,18,2.724850029534467
1,bolivia,4.862687128928353
2,ciudadana,2.036133225039743
3,co,9.482002091335557
4,comunidad,2.036133225039743
5,construir,1.7300020288886855
6,coronavirus,1.4614764074843813
7,corrupción,3.824992882695133
8,cruz,2.1825354122664438
9,empleos,2.1022131531086896
10,envivo,1.8666026833534297
11,faltan,2.602643638831072
12,fraude,2.926265547128036
13,gente,2.0816193198955695
14,gobierno,2.1758254504545484
15,historia,2.509344783882712
16,https,9.482002091335557
17,mesaganadebate,2.316551471274942
18,mesapresidente,2.8486376576921435
19,octubre,2.5906113767474177
20,pandemia,1.9458832342867678
21,pido,1.8753155247293298
22,plan,1.4855330840279635
23,pondremos,1.9076671967946535
24,primerolagente,7.963350058314631
25,salud,2.0740031028541375
26,santa,2.1825354122664438
27,santacruz,1.808873602629839
28,urnas,1.7369715343213774
29,voto,2.4550565639585864
