,text,value
0,30,1.718351719126939
1,arce,2.1231085144172117
2,años,1.6453326334243794
3,bolivia,4.467598511194174
4,co,5.732351261183883
5,corteidh,2.234437230548258
6,debate,1.623982634761506
7,democracia,3.391075210446102
8,derecho,2.152153038238359
9,economía,2.7545652210487526
10,elecciones,1.3010989297719424
11,evo,2.839176557164083
12,fraude,2.3341688328432237
13,fraudulento,1.4939589661701465
14,gracias,1.428652490563103
15,https,5.732351261183883
16,humano,2.041431058486379
17,indefinida,1.8355490957666198
18,luchoxbolivia,1.6307767866990617
19,luis,1.3793239588040271
20,mensaje,1.875502682388954
21,oct,1.3027266304325493
22,presidencial,1.5867091973453158
23,reelección,1.7827990850116195
24,reeleción,1.3821027843521794
25,rt,4.026411432036396
26,salvar,1.3561542747661084
27,septiembre,1.5293300343043823
28,tirano,1.7797171469308626
29,tutoquiroga,3.085651739686453
