,polarity,text
0,0.0,lo que nos parece inaceptable y por eso
1,0.0,yo he presentado un juicio y soy el
2,0.0,único candidato que le ha hecho un
3,0.35,juicio de verdad a evo morales a evo
4,0.0,morales- directamente a álvaro garcía
5,0.1,linera directamente arce zaconeta a
6,0.0,quintana y a carlos romero ese juicio
7,0.0,establece que ellos son los autores
8,0.3,intelectuales del fraude autores
9,0.0,intelectuales que no se pueden quedar
10,0.17083333333333336,tan libres y tan tranquilitos diciendo
11,0.0,aquí no pasó nada no señor paso paso
12,0.2,ustedes son responsables del fraude son
13,-0.1,responsables del daño penal y son
14,0.2,responsables del daño civil y el daño
15,0.0,civil de 217 millones de bolivianos
16,-0.1,gastados en una elección tirados al
17,0.0,canasto de la basura por el gigantesco y
18,0.0,desvergonzado fraude es una lógica que
19,0.0,establece que ellos en ningún caso
20,0.0,podrían ser candidatos a nada por eso me
21,0.16666666666666666,pareció un cinismo extraordinario del ex
22,0.0,presidente pretender sea el candidato al
23,0.0,senado no porque además no tuviera
24,0.0,residencia que el autor del fraude como
25,0.0,candidato es una burla al país eso es lo
26,0.0,que pretende evo morales y nosotros
27,0.0,creemos que evo morales debe ser juzgado
28,0.0,y condenado por el delito de fraude
29,-0.4,electoral que es un delito penal y un
30,0.0,delito civil
31,0.3833333333333333,primero que me siento cómodo ganando la
32,0.024999999999999994,elección en primera vuelta y estamos
33,0.0,trabajando con gustavo con comunidad
34,0.2833333333333334,ciudadana para ganar en primera vuelta
35,0.0,segundo si eso no ocurre y si tenemos
36,-0.1,que ir a segunda vuelta la construcción
37,0.0,de gobernabilidad es una responsabilidad
38,0.4,fundamental quién va a ser el presidente
39,0.0,de la asamblea es gustavo así que me
40,0.0,gustaría que les precio su punto la
41,0.0,política es el campo también para
42,0.0,construir consensos no nosotros siempre
43,0.0,hemos estado abiertos al diálogo
44,0.8,vamos a seguir cuando ganemos la
45,0.25,elección nuestro primer objetivo es
46,0.0,tener mayoría en la asamblea legislativa
47,0.0,y eso lo vamos a tener con el apoyo
48,0.3,popular la gente y ese es el gran cambio
49,0.0,fredrik en el siglo 21 la política y el
50,0.0,voto difiere del siglo 20 la política en
51,0.25,el siglo 21 es mucho más flexible la
52,0.0,visión del ciudadano respecto al partido
