,original,translated
0,lo que nos parece inaceptable y por eso,
1,yo he presentado un juicio y soy el,
2,único candidato que le ha hecho un,
3,juicio de verdad a evo morales a evo,
4,morales- directamente a álvaro garcía,
5,linera directamente arce zaconeta a,
6,quintana y a carlos romero ese juicio,
7,establece que ellos son los autores,
8,intelectuales del fraude autores,
9,intelectuales que no se pueden quedar,
10,tan libres y tan tranquilitos diciendo,
11,aquí no pasó nada no señor paso paso,
12,ustedes son responsables del fraude son,
13,responsables del daño penal y son,
14,responsables del daño civil y el daño,
15,civil de 217 millones de bolivianos,
16,gastados en una elección tirados al,
17,canasto de la basura por el gigantesco y,
18,desvergonzado fraude es una lógica que,
19,establece que ellos en ningún caso,
20,podrían ser candidatos a nada por eso me,
21,pareció un cinismo extraordinario del ex,
22,presidente pretender sea el candidato al,
23,senado no porque además no tuviera,
24,residencia que el autor del fraude como,
25,candidato es una burla al país eso es lo,
26,que pretende evo morales y nosotros,
27,creemos que evo morales debe ser juzgado,
28,y condenado por el delito de fraude,
29,electoral que es un delito penal y un,
30,delito civil,
31,primero que me siento cómodo ganando la,
32,elección en primera vuelta y estamos,
33,trabajando con gustavo con comunidad,
34,ciudadana para ganar en primera vuelta,
35,segundo si eso no ocurre y si tenemos,
36,que ir a segunda vuelta la construcción,
37,de gobernabilidad es una responsabilidad,
38,fundamental quién va a ser el presidente,
39,de la asamblea es gustavo así que me,
40,gustaría que les precio su punto la,
41,política es el campo también para,
42,construir consensos no nosotros siempre,
43,hemos estado abiertos al diálogo,
44,vamos a seguir cuando ganemos la,
45,elección nuestro primer objetivo es,
46,tener mayoría en la asamblea legislativa,
47,y eso lo vamos a tener con el apoyo,
48,popular la gente y ese es el gran cambio,
49,fredrik en el siglo 21 la política y el,
50,voto difiere del siglo 20 la política en,
51,el siglo 21 es mucho más flexible la,
52,visión del ciudadano respecto al partido,
53,no están jerarquizadas heráldica tan,
54,rígida y por lo tanto ese momento,
55,constitutivo cuando marca la papeleta y,
56,la pone al sobre y al amparo es el,
57,momento constitutivo,
58,del voto soberano para elegir a un,
59,gobernante que nosotros creemos que ese,
60,va a ser el voto que nos va a dar a,
61,nosotros la victoria y la mayoría en el,
62,congreso en la asamblea legislativa,
63,la cuestión antes de que si carlos meses,
64,debería aliarse con él y fernando,
65,camacho en este mismo estudio este mismo,
66,set hace una semana atrás le,
67,preguntábamos a luís fernando camacho y,
68,él decía que de ninguna manera entraría,
69,a una alianza con carlos meza se lo,
70,preguntamos a carlos nosotros siempre,
71,hemos estado abiertos al diálogo,
72,frederico la posibilidad de establecer,
73,una línea cuando decimos diálogo es el,
74,bloque que enfrenta al movimiento al,
75,socialismo al que hay que derrotar a,
76,luís arse que no es otra cosa que evo,
77,morales- gobernando detrás de él que no,
78,podemos tolerar que eso ocurra desde el,
79,punto de vista democrático estamos,
80,abiertos a diego pero creemos firmemente,
81,como ocurrió el año pasado que la unidad,
82,del voto la del ciudadano el que decide,
83,la fragmentación o la concentración del,
84,voto del ciudadano y esa es nuestra,
85,expectativa más importante hoy por hoy,
86,usted se considera el voto útil otros lo,
87,llaman el voto inteligente,
88,nosotros consideramos que la,
89,construcción del voto tiene que ver con,
90,la capacidad propuesta tú primero,
91,construyes una base sobre la cual,
92,establecer tu vinculación de,
93,credibilidad con la gente la,
94,credibilidad por qué propones cosas,
95,creíbles propones cosas realistas y,
96,sabes y ellos saben y ustedes saben,
97,quién tiene la posea de gobernar,
98,adecuada y responsablemente y separado,
99,responsablemente y en ese contexto una,
100,vez que has trabajado esa masa crítica,
101,de credibilidad el voto viene el voto se,
102,acerca a ti porque saben que tú eres la,
103,única opción real de ganar la elección,
104,estado y mercado tienen un rol el estado,
105,tiene un rol social fundamental en la,
106,salud en la educación en la conectividad,
107,en la responsabilidad de dar respuestas,
108,a la lucha contra el coronavirus por,
109,ejemplo pero la iniciativa privada es la,
110,que le va a dar la dinámica de sustituir,
111,la inversión pública como un elemento,
112,central del mecanismo económico del país,
113,me gustaría en el tema para invitarlo a,
114,gustavo a complementar las ideas y es,
115,vital la gente hasta ahora el modelo de,
116,gestión estatal se ha concentrado en,
117,articular trabajar en el mercado el,
118,estado pero la gente ha estado lejos de,
119,estos campos no nosotros tenemos el,
120,eslogan primero en la gente porque,
121,queremos poner a la gente en el centro,
122,el objetivo del estado el objetivo de,
123,una política pública en materia,
124,económica social y científica el ser,
125,humano no se está ese es el centro para,
126,nosotros entonces esto es lo que han,
127,ignorado otro partido nosotros queremos,
128,resolver los problemas de la economía de,
129,la educación de la salud de la ciencia y,
130,la tecnología pero poniendo a la gente,
131,en el centro y eso es,
132,vital repetirlo subrayar lo no ha habido,
133,es ese protagonismo de la gente los,
134,partidos políticos cuando toman el poder,
135,se olvidan de la gente y se concentran,
136,en la reproducción del poder se,
137,concentra se aferran al poder y todo lo,
