,text,value
0,bolivia,3.874763983483702
1,campo,3.10156571401102
2,carlos,4.229298241644843
3,ciudadano,2.846345351218311
4,compromiso,3.7151164379555097
5,construcción,2.6813421372248545
6,coronavirus,2.827835306886293
7,corrupción,7.40480743614031
8,crisis,6.4473692716206354
9,cruceño,2.703875206898032
10,cáncer,2.536302613784993
11,económica,3.587035109950317
12,emprendedor,3.550756326963131
13,establecer,3.9561035334554973
14,fraude,5.781040774151701
15,fundamental,4.007882680012646
16,gente,10.834581244770817
17,gustavo,3.379948395487635
18,importante,2.681283327643132
19,lucha,4.21242402928011
20,meza,2.534625395834246
21,partido,2.75920451316837
22,país,2.837463378065612
23,política,4.65615761889494
24,político,2.7835310731325236
25,pondremos,3.4965361521533294
26,presidente,4.2926124775655685
27,salud,4.451838273361142
28,santacruz,4.153760992557427
29,voto,6.285174910430042
