,original,translated
0,carlos va a hacer un acuerdo otra vez,
1,había hecho que el pasado con don evo,
2,morales para futuro ustedes me conocen,
3,yo estoy en esta lucha no un año de un,
4,año y medio dos años de años toda la,
5,vida quince años para recuperar,
6,democracia garantizar libertad y evitar,
7,que la tiranía autoritaria corrupta y,
8,ahora sabemos de grabada mente enferma,
9,y nunca más al país,
10,cuántos cuadros,
11,1,
12,para que vean la información que hemos,
13,hecho conocer a la corte electoral que,
14,el sábado tuve sobre esta base,
15,a ver la sede del tema de impuestos,
16,gracia versus democracia el central a la,
17,corte de cobardes mujeres pegado al de,
18,clark registra una carta muy larga que,
19,ahora mostramos por qué es bueno que la,
20,gente sepa esto hace diez años se ha,
21,formado un oligopolio un cartel de,
22,encuestadores donde para publicar y,
23,diseminar información de qué estás,
24,pensando tú tienes que esperar que te,
25,digan lo que estás pensando,
26,para que para que no me des con tus ojos,
27,que no escuches con tus oídos que te,
28,digan que lo que tú estás sintiendo en,
29,el corazón pensando con la cabeza como a,
30,través de empresas encuestadoras,
31,registradas ante el estado fascista y,
32,que solo vuelves ver discutir diseminado,
33,compartir la información que autorizaba,
34,evo morales y el más aquí puedes ver en,
35,este cuadro lo que es,
36,de la última encuesta en todos los,
37,últimos procesos electorales nueva,
38,primera no la segunda la tercera de la,
39,última donde se supone que deben,
40,aproximarse a la realidad del voto que,
41,va a ser emitido ahí tienen las,
42,desviaciones promedio por empresa por,
43,proceso electoral y ojo la desviación,
44,cómo se la mide con cuál es el último,
45,resultado que te muestran contra el,
46,resultado final producto de la votación,
47,y que pueden ver ustedes acá que verán,
48,las desviaciones entre 26 28 hasta 50,
49,por ciento no del 2% no el 3% sino entre,
50,27 al 50 por ciento y este es de la,
51,último que hicieron no de la primera de,
52,la segunda de la tercera de la que te,
53,muestra antes y donde ustedes saben bien,
54,que había empresas que mostraban que el,
55,más ganaba en primera vuelta hasta el,
56,fraude lo tenían encuestado con esto y,
57,la desviación tiene que ver,
58,no solamente la brecha de guardia,
59,teníamos una base no es decir no más,
60,michael jordan es quizás es 18,
61,centímetros más que bruto fiore y qué,
62,tal si te dicen michael jordan mide unos,
63,setenta y tokio a 152 le fallaron,
64,grotescamente y te van a decir a,
65,florecer cada brecha,
66,tenían que mostrarte sobre todo cuando,
67,la democracia dice que hay que ganar con,
68,más de 40 y 10 derecha tiene que,
69,gustarte el número y el tamaño de,
70,estatura real no la ven y ustedes vieron,
71,el año pasado que encuestas decían que,
72,si acababa de bajar y si sabemos los del,
73,puente el resultado ni siquiera se,
74,aceptaban a dos muy bien aquí si quieren,
75,firmar sino no repuesto de muestra un,
76,botón,
77,teníamos información tenemos encuestas,
78,bien hechas no para agrado para,
79,congraciarnos voy al período para el,
80,lunes y la voy a mostrar y si me quieren,
81,inhabilitar team inhabilitar probidad,
82,tiene derecho a ser la verdad si hace 9,
83,habilitado aquí vamos a estar,
84,solamente que vuestro voto en el mes de,
85,julio nosotros estábamos en 13%,
86,alcanzamos segundo lugar y que te,
87,buscaba 2% 2% 3% era parte es parte de,
88,una estrategia inducida por ti tú solo,
89,pueden diseminar aquella información que,
90,proviene de empresas que se registran,
91,con el estado fascista y más aún más más,
92,de este estrato que es la principal,
93,preocupación de la gente la economía,
94,cree que la crisis económica sí y por,
95,eso hemos ganado los debates porque le,
96,hemos dicho a la gente lo que necesita,
97,saber no dulce de leche auricular para,
98,congraciarnos con su virus,
99,la gente está sabe que hay crisis sabe,
100,muy bien la cosa muy difícil y sabe que,
101,la única propuesta que salvó a la,
102,economía que preserva a 650.000 enredos,
103,que hace que las baterías,
104,lo que entrega la propiedad de las,
105,empresas bolivianos es la nuestra para,
106,generar 450 mil empleos nuevos y,
107,preservar 650 mil empleos existentes,
108,para garantizar estabilidad cambiaria,
109,sin sobresaltos y estabilidad financiera,
110,sin perder tus ahorros primer pósitos el,
111,poder adquisitivo de tu jubilación de tu,
112,sueldo es eso lo que le preocupa a la,
113,gente y los que no tienen ni la,
114,propuesta ni la respuesta ni la,
115,capacidad ni el equipo tienen que tratar,
116,de manipular el y de tratar de inducir,
117,para ver cómo funciona eso y sólo desde,
118,ejemplo a kant para que no digan que,
119,estoy dando ser un resultado la,
120,principal preocupación de la economía en,
121,julio,
122,la gente sabe algunos injustamente creen,
123,que arce el cajero del desarrollo sabe,
124,de economía ahora proponemos victorias,
125,de deuda externa para mandar al país a,
126,la quiebra y enterrar la economía que,
127,destrozó 14 años injustamente,
128,inmerecidamente a la gente que los,
129,valoran son muy por encima del resto,
130,entonces pregúntense si la principal,
131,preocupación de la gente burgués mayo,
132,subiendo es la economía es la crisis es,
133,el empleo la única propuesta con la,
134,credibilidad el equipo la capacidad es,
135,la de libre 21 institución y entonces,
136,porque te muestra esos resultados se,
137,imaginan ustedes en un país que piense,
138,que la economía del principado que tú,
139,quieras de las respuestas y digan no no,
140,voy a votar,
141,es francamente el producto de lo que es,
142,la manipulación y todo está en esta,
143,última época,
144,de cuadros sobre las encuestas lo que ha,
145,hecho el tribunal electoral qué pena que,
146,salgado romero hubiera entrado con el,
147,nuevo tc y hubiera mantenido al personal,
148,que reparte del fraude utilizado y no,
149,sólo pero más actas puede inducción del,
150,tema de encuestas,
151,él aprobó el tc arrow el 8 de julio un,
152,sistema de encuestas telefónicas sin,
153,bases de datos no lo voy a manejar pero,
154,tú para ser una impuesta requiere es una,
155,muestra representativa en el censo y el,
156,padrón tiene la muestra representativa,
157,mitad hombres ya mujeres distribución,
158,etaria por edades por zonas o regiones,
159,por ingreso por título profesional o no,
160,armas una muestra que refleje número de,
