,text,value
0,aplausos,6.0
1,año,3.4468073222507623
2,años,8.745293003736338
3,base,3.648710258256005
4,bolivia,5.576652902971532
5,datos,3.4591011771228106
6,debate,3.4297327003140485
7,debates,3.4914088426507695
8,democracia,4.446379341715134
9,economía,6.425596384561089
10,electoral,4.715353082262968
11,empresas,4.578872146158694
12,encuesta,4.449712106636813
13,encuestas,11.403084175381775
14,evo,6.142523872080601
15,fraude,5.8326347437947925
16,gente,10.783276722921252
17,manipulación,5.784062785370074
18,manipular,3.802191166522601
19,mil,3.7751575974393248
20,miles,4.45586854567853
21,morales,5.930426400393676
22,mostrar,4.138861551045653
23,muestra,4.1007288905057395
24,país,5.1700314183900105
25,presidente,5.138255230237698
26,resultado,4.171782188495948
27,señor,3.737463641918108
28,sistema,5.02160152629079
29,votar,4.596753661056426
